backend,surface_lower,lemma,surface_lemma_count,dominant_mode,surface_count,surface_dominant_emotion,surface_entropy,surface_normalized_entropy,lemma_count,lemma_dominant_emotion,lemma_entropy,lemma_normalized_entropy,delta_entropy,dominant_emotion_changed,surface_share_in_lemma,granularity_class
spacy,blague,blague,1,Suggérée,6,Colère,1.7925,0.8962,6,Joie,-0.0,0.0,-1.7925,True,0.1667,lemma_reveals_family
spacy,voient,voir,3,Suggérée,3,Colère,0.9183,0.9183,29,Colère,2.7091,0.8546,1.7908,False,0.1034,lemma_dilutes_surface
spacy,attendait,attendre,3,Suggérée,3,Surprise,-0.0,0.0,10,Surprise,1.6855,0.8427,1.6855,False,0.3,lemma_dilutes_surface
spacy,plaignent,plaindre,3,Comportementale,3,Colère,-0.0,0.0,9,Colère,1.6577,0.8289,1.6577,False,0.3333,lemma_dilutes_surface
spacy,volé,voler,3,Suggérée,4,Colère,0.8113,0.8113,8,Colère,2.4056,0.9306,1.5943,False,0.375,lemma_dilutes_surface
spacy,porté,porter,4,Comportementale,4,Colère,-0.0,0.0,10,Colère,1.571,0.7855,1.571,False,0.4,lemma_dilutes_surface
spacy,sert,servir,2,Montrée,3,Colère,-0.0,0.0,5,Colère,1.5219,0.9602,1.5219,False,0.4,lemma_dilutes_surface
spacy,crient,crier,3,Comportementale,3,Peur,0.9183,0.9183,19,Peur,2.3135,0.8241,1.3952,False,0.1579,lemma_dilutes_surface
spacy,news,new,2,Suggérée,3,Colère,-0.0,0.0,7,Joie,1.3788,0.8699,1.3788,True,0.2857,lemma_dilutes_surface
spacy,savoir,savoir,5,Montrée,5,Colère,-0.0,0.0,10,Colère,1.3568,0.6784,1.3568,False,0.5,lemma_dilutes_surface
spacy,imposer,imposer,3,Suggérée,3,Peur,0.9183,0.9183,6,Peur,2.2516,0.9697,1.3333,False,0.5,lemma_dilutes_surface
spacy,prestigieux,prestigieux,3,Désignée,3,Admiration,-0.0,0.0,6,Admiration,1.2516,0.7897,1.2516,False,0.5,lemma_dilutes_surface
spacy,trouver,trouver,6,Suggérée,6,Peur,1.2516,0.7897,14,Peur,2.4956,0.889,1.244,False,0.4286,lemma_dilutes_surface
spacy,attaquent,attaquer,3,Suggérée,3,Peur,-0.0,0.0,24,Peur,1.1964,0.7549,1.1964,False,0.125,lemma_dilutes_surface
spacy,croire,croire,5,Suggérée,5,Surprise,0.7219,0.7219,13,Surprise,1.892,0.8148,1.1701,False,0.3846,lemma_dilutes_surface
spacy,arrivent,arriver,3,Suggérée,3,Tristesse,0.9183,0.9183,10,Surprise,2.0464,0.8814,1.1281,True,0.3,lemma_dilutes_surface
spacy,trouvé,trouver,5,Suggérée,5,Joie,1.371,0.865,14,Peur,2.4956,0.889,1.1246,True,0.3571,lemma_dilutes_surface
spacy,pleure,pleurer,5,Comportementale,5,Tristesse,-0.0,0.0,45,Tristesse,1.1245,0.7095,1.1245,False,0.1111,lemma_dilutes_surface
spacy,voit,voir,3,Suggérée,3,Colère,1.585,1.0,29,Colère,2.7091,0.8546,1.1241,False,0.1034,lemma_dilutes_surface
spacy,continue,continuer,3,Suggérée,4,Colère,0.8113,0.8113,6,Colère,1.9183,0.9591,1.107,False,0.5,lemma_dilutes_surface
spacy,mortes,mort,4,Suggérée,4,Peur,1.0,1.0,28,Tristesse,2.1017,0.7487,1.1017,True,0.1429,lemma_dilutes_surface
spacy,réussir,réussir,3,Suggérée,3,Colère,1.585,1.0,19,Joie,2.6498,0.9439,1.0648,True,0.1579,lemma_dilutes_surface
spacy,révoltée,révolter,3,Comportementale,3,Colère,-0.0,0.0,8,Colère,1.0613,0.6696,1.0613,False,0.375,lemma_dilutes_surface
spacy,joué,jouer,3,Suggérée,3,Joie,0.9183,0.9183,9,Joie,1.9749,0.9875,1.0566,False,0.3333,lemma_dilutes_surface
spacy,passe,passer,5,Montrée,5,Peur,0.971,0.971,14,Peur,2.0202,0.8701,1.0492,False,0.3571,lemma_dilutes_surface
spacy,malades,malade,3,Suggérée,3,Peur,0.9183,0.9183,10,Peur,1.961,0.8445,1.0427,False,0.3,lemma_dilutes_surface
spacy,noire,noir,3,Suggérée,4,Joie,1.5,0.9464,10,Colère,2.5219,0.9756,1.0219,True,0.3,lemma_dilutes_surface
spacy,noir,noir,5,Suggérée,5,Colère,1.5219,0.9602,10,Colère,2.5219,0.9756,1.0,False,0.5,lemma_dilutes_surface
spacy,violents,violent,3,Suggérée,3,Peur,-0.0,0.0,13,Peur,0.9913,0.6254,0.9913,False,0.2308,lemma_dilutes_surface
spacy,petite,petit,4,Suggérée,4,Joie,0.8113,0.8113,16,Joie,1.7947,0.773,0.9834,False,0.25,lemma_dilutes_surface
spacy,grands,grand,3,Suggérée,3,Fierté,1.585,1.0,25,Joie,2.5125,0.895,0.9275,True,0.12,lemma_dilutes_surface
spacy,folle,fou,3,Suggérée,4,Joie,1.5,0.9464,23,Colère,2.4013,0.8553,0.9013,True,0.1304,lemma_dilutes_surface
spacy,arrêté,arrêter,5,Comportementale,5,Colère,0.7219,0.7219,21,Colère,1.6005,0.8002,0.8786,False,0.2381,lemma_dilutes_surface
spacy,effondrer,effondrer,3,Suggérée,3,Peur,-0.0,0.0,7,Peur,0.8631,0.8631,0.8631,False,0.4286,lemma_dilutes_surface
spacy,pensé,penser,3,Suggérée,3,Dégoût,1.585,1.0,9,Colère,2.4194,0.9359,0.8344,True,0.3333,lemma_dilutes_surface
spacy,main,main,3,Comportementale,3,Joie,0.9183,0.9183,8,Joie,1.75,0.875,0.8317,False,0.375,lemma_dilutes_surface
spacy,perdu,perdu,5,Suggérée,12,Tristesse,1.5511,0.7755,5,Tristesse,0.7219,0.7219,-0.8292,False,1.0,lemma_reveals_family
spacy,voler,voler,3,Suggérée,3,Colère,1.585,1.0,8,Colère,2.4056,0.9306,0.8206,False,0.375,lemma_dilutes_surface
spacy,crie,crier,1,Montrée,4,Colère,1.5,0.9464,19,Peur,2.3135,0.8241,0.8135,True,0.0526,lemma_dilutes_surface
spacy,animaux,animal,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface
spacy,drole,drole,3,Désignée,4,Joie,0.8113,0.8113,3,Joie,-0.0,0.0,-0.8113,False,1.0,lemma_reveals_family
spacy,dommage,dommage,3,Suggérée,3,Tristesse,-0.0,0.0,4,Tristesse,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface
spacy,accident,accident,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface
spacy,reçu,recevoir,6,Suggérée,6,Fierté,1.0,1.0,8,Fierté,1.8113,0.9056,0.8113,False,0.75,lemma_dilutes_surface
spacy,tiré,tirer,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface
spacy,mis,mettre,5,Comportementale,5,Tristesse,0.971,0.971,16,Colère,1.7806,0.8903,0.8096,True,0.3125,lemma_dilutes_surface
spacy,morts,mort,7,Suggérée,8,Tristesse,1.2988,0.8194,28,Tristesse,2.1017,0.7487,0.8029,False,0.25,lemma_dilutes_surface
spacy,vivent,vivre,4,Suggérée,4,Tristesse,1.5,0.9464,12,Tristesse,2.2842,0.8836,0.7842,False,0.3333,lemma_dilutes_surface
spacy,vécue,vivre,4,Suggérée,4,Tristesse,1.5,0.9464,12,Tristesse,2.2842,0.8836,0.7842,False,0.3333,lemma_dilutes_surface
spacy,bonne,bon,14,Suggérée,14,Joie,0.9464,0.5971,43,Joie,1.7293,0.616,0.7829,False,0.3256,lemma_dilutes_surface
spacy,coups,coup,11,Suggérée,11,Peur,1.5726,0.9922,19,Colère,2.3546,0.9109,0.782,True,0.5789,lemma_dilutes_surface
spacy,jours,jour,4,Suggérée,4,Joie,1.5,0.9464,9,Joie,2.281,0.8824,0.781,False,0.4444,lemma_dilutes_surface
spacy,tendues,tendre,6,Suggérée,6,Colère,-0.0,0.0,13,Colère,0.7732,0.4879,0.7732,False,0.4615,lemma_dilutes_surface
spacy,attendre,attendre,3,Suggérée,3,Joie,0.9183,0.9183,10,Surprise,1.6855,0.8427,0.7672,True,0.3,lemma_dilutes_surface
spacy,grande,grand,8,Suggérée,8,Joie,1.75,0.875,25,Joie,2.5125,0.895,0.7625,False,0.32,lemma_dilutes_surface
spacy,choquée,choquer,3,Désignée,3,Surprise,0.9183,0.9183,50,Surprise,1.6617,0.8309,0.7434,False,0.06,lemma_dilutes_surface
spacy,effondrée,effondrer,1,Désignée,3,Peur,1.585,1.0,7,Peur,0.8631,0.8631,-0.7219,False,0.1429,lemma_reveals_family
spacy,rigole,rigol,4,Comportementale,5,Joie,0.7219,0.7219,4,Joie,-0.0,0.0,-0.7219,False,1.0,lemma_reveals_family
