source_file,text_span,mode,emotion,token_index,char_start,char_end,surface,surface_lower,lemma_spacy,pos_spacy,lemma_stanza,pos_stanza,is_alpha,surface_is_stopword,lemma_spacy_is_stopword,lemma_stanza_is_stopword,kept_for_analysis,drop_reason
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,0,0,2,pk,pk,pk,ADV,pk,INTJ,True,False,False,False,True,
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,1,3,7,vous,vous,vous,PRON,vous,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,2,8,16,insulter,insulter,insulter,VERB,insulter,VERB,True,False,False,False,True,
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,3,17,21,Paul,paul,paul,PROPN,paul,PROPN,True,False,False,False,True,
CyberAggAdo,il est gros,Suggérée,Dégoût,0,0,2,il,il,il,PRON,lui,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,il est gros,Suggérée,Colère,0,0,2,il,il,il,PRON,lui,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,il est gros,Suggérée,Dégoût,1,3,6,est,est,être,AUX,être,AUX,True,True,True,True,False,stopword_surface
CyberAggAdo,il est gros,Suggérée,Colère,1,3,6,est,est,être,AUX,être,AUX,True,True,True,True,False,stopword_surface
CyberAggAdo,il est gros,Suggérée,Dégoût,2,7,11,gros,gros,gros,ADJ,gros,ADJ,True,False,False,False,True,
CyberAggAdo,il est gros,Suggérée,Colère,2,7,11,gros,gros,gros,ADJ,gros,ADJ,True,False,False,False,True,
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,0,0,4,Mais,mais,mais,CCONJ,mais,CCONJ,True,True,True,True,False,stopword_surface
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,1,5,10,frere,frere,frere,VERB,frere,NOUN,True,False,False,False,True,
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,2,11,12,t,t,t,ADP,t,X,True,True,True,True,False,stopword_surface
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,3,13,21,casiment,casiment,casiment,NOUN,casiment,X,True,False,False,False,True,
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,4,22,27,aussi,aussi,aussi,ADV,aussi,ADV,True,True,True,True,False,stopword_surface
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,5,28,33,obèse,obèse,obèse,NOUN,obèse,ADJ,True,False,False,False,True,
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,6,34,37,que,que,que,SCONJ,que,SCONJ,True,True,True,True,False,stopword_surface
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,7,38,41,lui,lui,luire,PRON,lui,PRON,True,True,False,True,False,stopword_surface
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,8,42,46,gros,gros,gros,ADJ,gros,ADJ,True,False,False,False,True,
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,9,47,52,chien,chien,chien,NOUN,chien,NOUN,True,False,False,False,True,
CyberAggAdo,gros chien,Montrée,Dégoût,0,0,4,gros,gros,gros,ADJ,gros,ADJ,True,False,False,False,True,
CyberAggAdo,gros chien,Montrée,Dégoût,1,5,10,chien,chien,chien,NOUN,chien,NOUN,True,False,False,False,True,
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,0,0,3,bah,bah,bah,VERB,bah,INTJ,True,False,False,False,True,
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,1,4,9,alors,alors,alors,ADV,alors,ADV,True,True,True,True,False,stopword_surface
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,2,10,12,on,on,on,PRON,on,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,3,13,14,a,a,avoir,VERB,avoir,VERB,True,True,True,True,False,stopword_surface
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,4,15,18,les,les,le,DET,le,DET,True,True,True,True,False,stopword_surface
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,5,19,24,nerfs,nerfs,nerf,NOUN,nerf,NOUN,True,False,False,False,True,
CyberAggAdo,c pas cool,Montrée,Colère,0,0,1,c,c,c,NOUN,c,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,c pas cool,Montrée,Colère,1,2,5,pas,pas,pas,ADV,pas,ADV,True,True,True,True,False,stopword_surface
CyberAggAdo,c pas cool,Montrée,Colère,2,6,10,cool,cool,cool,ADV,cool,ADJ,True,False,False,False,True,
CyberAggAdo,vous faites pitié,Montrée,Colère,0,0,4,vous,vous,vous,PRON,vous,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,vous faites pitié,Montrée,Colère,1,5,11,faites,faites,fait,ADJ,faire,VERB,True,True,True,True,False,stopword_surface
CyberAggAdo,vous faites pitié,Montrée,Colère,2,12,17,pitié,pitié,pitié,NOUN,pitié,NOUN,True,False,False,False,True,
CyberAggAdo,tg,Montrée,Colère,0,0,2,tg,tg,tg,CCONJ,tg,INTJ,True,False,False,False,True,
CyberAggAdo,raconte pas ta vie,Montrée,Colère,0,0,7,raconte,raconte,racont,ADJ,raconter,VERB,True,False,False,False,True,
CyberAggAdo,raconte pas ta vie,Montrée,Colère,1,8,11,pas,pas,pas,ADV,pas,ADV,True,True,True,True,False,stopword_surface
CyberAggAdo,raconte pas ta vie,Montrée,Colère,2,12,14,ta,ta,ton,PRON,son,DET,True,True,True,True,False,stopword_surface
CyberAggAdo,raconte pas ta vie,Montrée,Colère,3,15,18,vie,vie,vie,NOUN,vie,NOUN,True,False,False,False,True,
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,0,0,4,mais,mais,mais,CCONJ,mais,CCONJ,True,True,True,True,False,stopword_surface
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,1,5,7,on,on,on,PRON,on,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,3,10,12,as,as,as,PRON,avoir,VERB,True,True,True,True,False,stopword_surface
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,4,13,17,meme,meme,meme,NOUN,même,VERB,True,False,False,True,True,
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,5,18,21,pas,pas,pas,ADV,pas,ADV,True,True,True,True,False,stopword_surface
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,6,22,28,parler,parler,parler,VERB,parler,VERB,True,False,False,False,True,
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,7,29,30,a,a,avoir,AUX,a,ADP,True,True,True,True,False,stopword_surface
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,8,31,34,toi,toi,toi,ADV,toi,PRON,True,True,True,True,False,stopword_surface
CyberAggAdo,t insulte Paul,Comportementale,Colère,0,0,1,t,t,t,ADP,t,PROPN,True,True,True,True,False,stopword_surface
