column,TEXT,reference,generated
Colere,– Et alors ?,0,1
Colere,– Et alors ?,1,0
Joie,Elle est obligée de leur donner une partie de son butin pour leur permettre de jouer.,1,0
Peur,- Frrrintek ?,1,0
Surprise,- Frrrintek ?,0,1
Surprise,– Et alors ?,0,1
Surprise,– Et alors ?,1,0
Tristesse,"Au départ, on se mariait pour former des alliances entre deux familles, ou deux tribus.",1,0
Tristesse,"– Oui, comme pour Roméo et Juliette, dit Cara, qui a joué une scène de la pièce de Shakespeare.",1,0
Fierte,Elle est obligée de leur donner une partie de son butin pour leur permettre de jouer.,1,0
Montree,– Et alors ?,0,1
Montree,– Et alors ?,1,0
Suggeree,"Au départ, on se mariait pour former des alliances entre deux familles, ou deux tribus.",1,0
Suggeree,"– Oui, comme pour Roméo et Juliette, dit Cara, qui a joué une scène de la pièce de Shakespeare.",1,0
Emo,"Au départ, on se mariait pour former des alliances entre deux familles, ou deux tribus.",1,0
Emo,"– Oui, comme pour Roméo et Juliette, dit Cara, qui a joué une scène de la pièce de Shakespeare.",1,0
Emo,– Et alors ?,0,1
Emo,– Et alors ?,1,0
Base,"Au départ, on se mariait pour former des alliances entre deux familles, ou deux tribus.",1,0
Base,"– Oui, comme pour Roméo et Juliette, dit Cara, qui a joué une scène de la pièce de Shakespeare.",1,0
Base,– Et alors ?,0,1
Base,– Et alors ?,1,0
Complexe,Elle est obligée de leur donner une partie de son butin pour leur permettre de jouer.,1,0
