marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
',punctuation,70,46,153,192,461,0.15,0.10,0.33,0.42,1.80,0.90
fou,word,1,3,6,4,14,0.07,0.21,0.43,0.29,1.79,0.89
yeux,word,4,1,1,4,10,0.40,0.10,0.10,0.40,1.72,0.86
beaucoup,word,1,1,1,4,7,0.14,0.14,0.14,0.57,1.66,0.83
s'en,word,2,1,7,2,12,0.17,0.08,0.58,0.17,1.61,0.81
seraient,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
demander,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
plaît,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
dommage,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
ouvert,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
paix,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
noël,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
homme,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
sévèrement,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
coeur,word,1,1,1,0,3,0.33,0.33,0.33,0.00,1.58,0.79
air,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
gens,word,3,0,3,4,10,0.30,0.00,0.30,0.40,1.57,0.79
vite,word,3,0,2,3,8,0.38,0.00,0.25,0.38,1.56,0.78
peu,word,0,2,3,3,8,0.00,0.25,0.38,0.38,1.56,0.78
mettre,word,3,0,2,2,7,0.43,0.00,0.29,0.29,1.56,0.78
pays,word,3,0,2,4,9,0.33,0.00,0.22,0.44,1.53,0.77
pardon,word,0,1,2,2,5,0.00,0.20,0.40,0.40,1.52,0.76
fêter,word,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
mot,word,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
mains,word,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
insulter,word,4,4,2,0,10,0.40,0.40,0.20,0.00,1.52,0.76
s'est,word,2,2,0,1,5,0.40,0.40,0.00,0.20,1.52,0.76
tête,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
célébré,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
amusant,word,2,4,2,0,8,0.25,0.50,0.25,0.00,1.50,0.75
peine,word,0,2,2,4,8,0.00,0.25,0.25,0.50,1.50,0.75
place,word,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
loin,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
polémique,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
soeur,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
continue,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
aime,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
fous,word,1,0,2,3,6,0.17,0.00,0.33,0.50,1.46,0.73
grand,word,2,0,3,6,11,0.18,0.00,0.27,0.55,1.44,0.72
parle,word,1,0,4,3,8,0.12,0.00,0.50,0.38,1.41,0.70
arrêter,word,3,0,4,1,8,0.38,0.00,0.50,0.12,1.41,0.70
mieux,word,0,1,3,4,8,0.00,0.12,0.38,0.50,1.41,0.70
-,punctuation,4,1,31,24,60,0.07,0.02,0.52,0.40,1.38,0.69
incroyable,word,0,4,1,2,7,0.00,0.57,0.14,0.29,1.38,0.69
prend,word,2,0,1,4,7,0.29,0.00,0.14,0.57,1.38,0.69
trouvé,word,1,0,1,3,5,0.20,0.00,0.20,0.60,1.37,0.69
conflit,word,6,2,0,2,10,0.60,0.20,0.00,0.20,1.37,0.69
faute,word,0,3,1,1,5,0.00,0.60,0.20,0.20,1.37,0.69
croire,word,0,1,1,3,5,0.00,0.20,0.20,0.60,1.37,0.69
photos,word,1,0,3,1,5,0.20,0.00,0.60,0.20,1.37,0.69
porter,word,3,0,1,1,5,0.60,0.00,0.20,0.20,1.37,0.69
regarde,word,1,0,3,1,5,0.20,0.00,0.60,0.20,1.37,0.69
embête,word,1,3,0,1,5,0.20,0.60,0.00,0.20,1.37,0.69
langue,word,1,0,1,3,5,0.20,0.00,0.20,0.60,1.37,0.69
super,word,0,5,1,4,10,0.00,0.50,0.10,0.40,1.36,0.68
pourquoi,word,1,0,5,3,9,0.11,0.00,0.56,0.33,1.35,0.68
vie,word,1,1,10,17,29,0.03,0.03,0.34,0.59,1.32,0.66
