col_a,col_b,phi,chi2,p_value,cramers_v,n
ROLE_bully,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
ROLE_bully,VERBAL_ABUSE_DNG,0.18,22.74,0.0000,0.17,781
ROLE_bully,VERBAL_ABUSE_NCG,-0.05,1.69,0.1937,0.05,781
ROLE_bully,VERBAL_ABUSE_OTH,0.09,5.39,0.0203,0.08,781
ROLE_bully,VERBAL_ABUSE_THR,-0.00,0.00,1.0000,0.00,781
ROLE_bully_support,VERBAL_ABUSE_BLM,0.05,0.11,0.7387,0.01,781
ROLE_bully_support,VERBAL_ABUSE_DNG,0.11,8.22,0.0041,0.10,781
ROLE_bully_support,VERBAL_ABUSE_NCG,0.01,0.07,0.7898,0.01,781
ROLE_bully_support,VERBAL_ABUSE_OTH,0.11,8.49,0.0036,0.10,781
ROLE_bully_support,VERBAL_ABUSE_THR,0.15,16.21,0.0001,0.14,781
ROLE_conciliator,VERBAL_ABUSE_BLM,-0.02,0.00,1.0000,0.00,781
ROLE_conciliator,VERBAL_ABUSE_DNG,-0.15,15.42,0.0001,0.14,781
ROLE_conciliator,VERBAL_ABUSE_NCG,-0.03,0.47,0.4934,0.02,781
ROLE_conciliator,VERBAL_ABUSE_OTH,-0.11,9.09,0.0026,0.11,781
ROLE_conciliator,VERBAL_ABUSE_THR,-0.09,5.90,0.0151,0.09,781
ROLE_victim,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
ROLE_victim,VERBAL_ABUSE_DNG,-0.08,4.49,0.0341,0.08,781
ROLE_victim,VERBAL_ABUSE_NCG,0.06,2.00,0.1575,0.05,781
ROLE_victim,VERBAL_ABUSE_OTH,-0.09,5.51,0.0189,0.08,781
ROLE_victim,VERBAL_ABUSE_THR,-0.08,3.68,0.0549,0.07,781
ROLE_victim_support,VERBAL_ABUSE_BLM,-0.02,0.00,1.0000,0.00,781
ROLE_victim_support,VERBAL_ABUSE_DNG,-0.07,3.29,0.0699,0.06,781
ROLE_victim_support,VERBAL_ABUSE_NCG,0.01,0.05,0.8259,0.01,781
ROLE_victim_support,VERBAL_ABUSE_OTH,-0.02,0.27,0.6052,0.02,781
ROLE_victim_support,VERBAL_ABUSE_THR,-0.02,0.12,0.7253,0.01,781
