marker_value,marker_type,Admiration,Colère,Culpabilité,Dégoût,Embarras,Fierté,Jalousie,Joie,Peur,Surprise,Tristesse,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
n'a,word,1,3,0,1,2,0,0,2,3,2,5,19,0.16,0.05,0.11,0.16,0.11,0.26,0.05,0.00,0.11,0.00,0.00,2.82,0.82
;,punctuation,24,93,1,4,8,49,0,71,138,36,97,521,0.18,0.01,0.14,0.26,0.07,0.19,0.05,0.00,0.02,0.09,0.00,2.75,0.79
vu,word,1,1,0,1,1,1,0,0,2,1,0,8,0.12,0.12,0.00,0.25,0.12,0.00,0.12,0.00,0.12,0.12,0.00,2.75,0.79
normal,word,0,1,0,0,2,1,0,1,1,1,2,9,0.11,0.00,0.11,0.11,0.11,0.22,0.00,0.00,0.22,0.11,0.00,2.73,0.79
',punctuation,5,158,3,14,10,14,1,92,62,49,53,461,0.34,0.03,0.20,0.13,0.11,0.11,0.01,0.01,0.02,0.03,0.00,2.65,0.77
venir,word,0,1,0,0,1,1,0,1,1,0,1,6,0.17,0.00,0.17,0.17,0.00,0.17,0.00,0.00,0.17,0.17,0.00,2.58,0.75
argent,word,0,4,0,1,0,1,0,1,1,2,2,12,0.33,0.08,0.08,0.08,0.17,0.17,0.00,0.00,0.00,0.08,0.00,2.58,0.75
-,punctuation,0,16,1,1,2,0,0,13,11,8,8,60,0.27,0.02,0.22,0.18,0.13,0.13,0.00,0.02,0.03,0.00,0.00,2.57,0.74
",",punctuation,2,16,0,2,0,3,0,21,5,6,5,60,0.27,0.03,0.35,0.08,0.10,0.08,0.03,0.00,0.00,0.05,0.00,2.51,0.73
grand,word,2,2,0,0,0,0,0,3,2,1,1,11,0.18,0.00,0.27,0.18,0.09,0.09,0.18,0.00,0.00,0.00,0.00,2.48,0.72
réussi,word,1,0,2,0,2,3,0,4,0,0,2,14,0.00,0.00,0.29,0.00,0.00,0.14,0.07,0.14,0.14,0.21,0.00,2.47,0.71
encore,word,2,2,0,0,1,0,0,1,3,3,0,12,0.17,0.00,0.08,0.25,0.25,0.00,0.17,0.00,0.08,0.00,0.00,2.46,0.71
crié,word,0,2,0,1,1,0,0,1,3,0,1,9,0.22,0.11,0.11,0.33,0.00,0.11,0.00,0.00,0.11,0.00,0.00,2.42,0.70
pu,word,0,2,0,1,0,0,0,3,1,1,3,11,0.18,0.09,0.27,0.09,0.09,0.27,0.00,0.00,0.00,0.00,0.00,2.41,0.70
chose,word,0,4,0,0,1,1,0,2,0,1,3,12,0.33,0.00,0.17,0.00,0.08,0.25,0.00,0.00,0.08,0.08,0.00,2.36,0.68
vraiment,word,1,1,0,0,0,1,0,0,1,2,4,10,0.10,0.00,0.00,0.10,0.20,0.40,0.10,0.00,0.00,0.10,0.00,2.32,0.67
vrai,word,1,1,0,0,0,1,0,1,0,1,0,5,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.20,0.00,2.32,0.67
explosé,word,1,1,0,1,0,1,0,1,0,0,0,5,0.20,0.20,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,2.32,0.67
seul,word,1,1,0,0,1,1,0,0,0,0,1,5,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.20,0.00,2.32,0.67
mort,word,1,2,0,0,1,0,0,1,4,1,8,18,0.11,0.00,0.06,0.22,0.06,0.44,0.06,0.00,0.06,0.00,0.00,2.28,0.66
avant,word,1,0,0,1,0,0,0,1,0,2,1,6,0.00,0.17,0.17,0.00,0.33,0.17,0.17,0.00,0.00,0.00,0.00,2.25,0.65
vite,word,0,1,0,0,2,0,0,2,2,0,1,8,0.12,0.00,0.25,0.25,0.00,0.12,0.00,0.00,0.25,0.00,0.00,2.25,0.65
ans,word,1,2,0,0,1,0,0,0,0,1,2,7,0.29,0.00,0.00,0.00,0.14,0.29,0.14,0.00,0.14,0.00,0.00,2.24,0.65
beaucoup,word,1,2,0,0,0,0,0,2,0,1,1,7,0.29,0.00,0.29,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,2.24,0.65
confiance,word,0,1,0,0,1,0,0,2,1,0,2,7,0.14,0.00,0.29,0.14,0.00,0.29,0.00,0.00,0.14,0.00,0.00,2.24,0.65
deux,word,0,2,0,0,0,0,0,3,1,2,3,11,0.18,0.00,0.27,0.09,0.18,0.27,0.00,0.00,0.00,0.00,0.00,2.23,0.64
c'est,word,0,20,0,2,0,2,0,10,1,3,9,47,0.43,0.04,0.21,0.02,0.06,0.19,0.00,0.00,0.00,0.04,0.00,2.22,0.64
première,word,2,0,0,0,0,2,0,5,0,4,2,15,0.00,0.00,0.33,0.00,0.27,0.13,0.13,0.00,0.00,0.13,0.00,2.20,0.64
pays,word,0,2,0,0,0,2,0,1,3,0,1,9,0.22,0.00,0.11,0.33,0.00,0.11,0.00,0.00,0.00,0.22,0.00,2.20,0.64
!,punctuation,28,100,0,12,4,23,1,146,13,349,33,709,0.14,0.02,0.21,0.02,0.49,0.05,0.04,0.00,0.01,0.03,0.00,2.18,0.63
qu'il,word,0,1,0,0,0,0,0,1,3,2,3,10,0.10,0.00,0.10,0.30,0.20,0.30,0.00,0.00,0.00,0.00,0.00,2.17,0.63
coup,word,0,2,0,0,0,1,0,3,1,1,0,8,0.25,0.00,0.38,0.12,0.12,0.00,0.00,0.00,0.00,0.12,0.00,2.16,0.62
unique,word,1,0,0,0,0,3,0,2,0,1,1,8,0.00,0.00,0.25,0.00,0.12,0.12,0.12,0.00,0.00,0.38,0.00,2.16,0.62
parle,word,1,3,0,1,0,0,0,0,1,0,2,8,0.38,0.12,0.00,0.12,0.00,0.25,0.12,0.00,0.00,0.00,0.00,2.16,0.62
malade,word,0,1,0,0,0,0,0,1,3,1,1,7,0.14,0.00,0.14,0.43,0.14,0.14,0.00,0.00,0.00,0.00,0.00,2.13,0.62
voir,word,0,4,0,1,0,2,0,3,1,0,0,11,0.36,0.09,0.27,0.09,0.00,0.00,0.00,0.00,0.00,0.18,0.00,2.12,0.61
temps,word,0,1,0,0,0,0,0,3,1,1,3,9,0.11,0.00,0.33,0.11,0.11,0.33,0.00,0.00,0.00,0.00,0.00,2.11,0.61
silence,word,0,1,0,0,1,0,0,0,1,2,4,9,0.11,0.00,0.00,0.11,0.22,0.44,0.00,0.00,0.11,0.00,0.00,2.06,0.60
