marker_value,marker_type,Admiration,Colère,Culpabilité,Dégoût,Embarras,Fierté,Jalousie,Joie,Peur,Surprise,Tristesse,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
n'a,word,1,3,0,1,2,0,0,2,3,2,5,19,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,2.820589856666546,0.8153333170313114
;,punctuation,24,93,1,4,8,49,0,71,138,36,97,521,0.1785028790786948,0.007677543186180422,0.1362763915547025,0.2648752399232246,0.0690978886756238,0.18618042226487524,0.046065259117082535,0.0019193857965451055,0.015355086372360844,0.09404990403071017,0.0,2.7502472051263123,0.794999730681094
vu,word,1,1,0,1,1,1,0,0,2,1,0,8,0.125,0.125,0.0,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0,2.75,0.7949282723741916
normal,lemma,0,1,0,0,2,1,0,1,1,1,2,9,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
normal,word,0,1,0,0,2,1,0,1,1,1,2,9,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
voir,lemma,1,11,0,3,1,3,0,4,3,2,1,29,0.3793103448275862,0.10344827586206896,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.10344827586206896,0.0,2.709070294730997,0.7830969342293649
réussir,lemma,0,1,2,0,2,4,0,5,2,0,3,19,0.05263157894736842,0.0,0.2631578947368421,0.10526315789473684,0.0,0.15789473684210525,0.0,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.0,2.649794462043571,0.765962375948726
',punctuation,5,158,3,14,10,14,1,92,62,49,53,461,0.34273318872017355,0.03036876355748373,0.19956616052060738,0.13449023861171366,0.10629067245119306,0.11496746203904555,0.010845986984815618,0.006507592190889371,0.021691973969631236,0.03036876355748373,0.0021691973969631237,2.6485892254406287,0.7656139844394244
venir,word,0,1,0,0,1,1,0,1,1,0,1,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,2.584962500721156,0.7472217363092141
argent,word,0,4,0,1,0,1,0,1,1,2,2,12,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,2.584962500721156,0.7472217363092141
-,punctuation,0,16,1,1,2,0,0,13,11,8,8,60,0.26666666666666666,0.016666666666666666,0.21666666666666667,0.18333333333333332,0.13333333333333333,0.13333333333333333,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,2.570899526594444,0.743156625135763
noir,lemma,0,2,0,0,0,1,0,2,2,1,2,10,0.2,0.0,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,2.5219280948873624,0.7290007067348172
grand,lemma,1,3,0,0,0,4,0,9,4,2,2,25,0.12,0.0,0.36,0.16,0.08,0.08,0.04,0.0,0.0,0.16,0.0,2.512487689168953,0.7262718174954549
",",punctuation,2,16,0,2,0,3,0,21,5,6,5,60,0.26666666666666666,0.03333333333333333,0.35,0.08333333333333333,0.1,0.08333333333333333,0.03333333333333333,0.0,0.0,0.05,0.0,2.5115137733798854,0.7259902926970397
trouver,lemma,0,1,0,0,1,1,0,3,5,2,1,14,0.07142857142857142,0.0,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,2.495602923729013,0.7213910257061403
taire,lemma,0,9,0,2,1,1,0,2,2,1,2,20,0.45,0.1,0.1,0.1,0.05,0.1,0.0,0.0,0.05,0.05,0.0,2.495461844238322,0.7213502445876667
grand,word,2,2,0,0,0,0,0,3,2,1,1,11,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,2.481714572986073,0.7173763920107904
oeil,lemma,0,4,0,1,1,1,0,3,1,5,0,16,0.25,0.0625,0.1875,0.0625,0.3125,0.0,0.0,0.0,0.0625,0.0625,0.0,2.477217001462482,0.7160763022794714
réussi,word,1,0,2,0,2,3,0,4,0,0,2,14,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,2.467720100474499,0.7133310822448218
encore,word,2,2,0,0,1,0,0,1,3,3,0,12,0.16666666666666666,0.0,0.08333333333333333,0.25,0.25,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,2.4591479170272446,0.7108531655254762
encore,lemma,2,2,0,0,1,0,0,1,3,3,0,12,0.16666666666666666,0.0,0.08333333333333333,0.25,0.25,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,2.4591479170272446,0.7108531655254762
penser,lemma,0,3,0,1,0,1,0,1,0,2,1,9,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,2.4193819456463714,0.6993582219149019
crié,word,0,2,0,1,1,0,0,1,3,0,1,9,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,2.4193819456463714,0.6993582219149019
pu,word,0,2,0,1,0,0,0,3,1,1,3,11,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,2.413088436425758,0.6975389897651153
voler,lemma,0,3,1,0,0,1,0,1,1,0,1,8,0.375,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,2.4056390622295662,0.6953856377069162
fou,lemma,1,7,0,1,1,0,0,3,3,7,0,23,0.30434782608695654,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.30434782608695654,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,2.4012687424425176,0.6941223319767194
venir,lemma,0,3,0,0,1,1,0,3,1,0,1,10,0.3,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,2.3709505944546687,0.6853584217943318
premier,lemma,2,1,0,0,0,3,0,6,0,5,2,19,0.05263157894736842,0.0,0.3157894736842105,0.0,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.0,0.0,0.15789473684210525,0.0,2.3598063039211006,0.6821369993868098
aimer,lemma,0,5,0,2,2,1,0,3,0,0,6,19,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.0,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,2.3598063039211,0.6821369993868097
chose,word,0,4,0,0,1,1,0,2,0,1,3,12,0.3333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.25,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,2.355388542207534,0.6808599798643639
