source_file,text_span,mode,emotion,marker_type,marker_value,type
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,word,pk,SitEmo
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,word,insulter,SitEmo
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,word,paul,SitEmo
CyberAggAdo,pk vous insulter Paul ?,Comportementale,Colère,punctuation,?,SitEmo
CyberAggAdo,il est gros,Suggérée,Dégoût,word,gros,SitEmo
CyberAggAdo,il est gros,Suggérée,Colère,word,gros,SitEmo
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,word,frere,SitEmo
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,word,casiment,SitEmo
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,word,obèse,SitEmo
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,word,gros,SitEmo
CyberAggAdo,Mais frere t casiment aussi obèse que lui gros chien,Montrée,Colère,word,chien,SitEmo
CyberAggAdo,gros chien,Montrée,Dégoût,word,gros,SitEmo
CyberAggAdo,gros chien,Montrée,Dégoût,word,chien,SitEmo
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,word,bah,SitEmo
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,word,nerfs,SitEmo
CyberAggAdo,bah alors on a les nerfs?,Comportementale,Colère,punctuation,?,SitEmo
CyberAggAdo,c pas cool,Montrée,Colère,word,cool,SitEmo
CyberAggAdo,vous faites pitié,Montrée,Colère,word,pitié,SitEmo
CyberAggAdo,tg,Montrée,Colère,word,tg,SitEmo
CyberAggAdo,raconte pas ta vie,Montrée,Colère,word,raconte,SitEmo
CyberAggAdo,raconte pas ta vie,Montrée,Colère,word,vie,SitEmo
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,word,t'as,SitEmo
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,word,meme,SitEmo
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,word,parler,SitEmo
CyberAggAdo,mais on t'as meme pas parler a toi,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,t insulte Paul,Comportementale,Colère,word,insulte,SitEmo
CyberAggAdo,t insulte Paul,Comportementale,Colère,word,paul,SitEmo
CyberAggAdo,vu comme il est gros,Montrée,Dégoût,word,vu,SitEmo
CyberAggAdo,vu comme il est gros,Montrée,Dégoût,word,gros,SitEmo
CyberAggAdo,mskn,Désignée,Tristesse,word,mskn,SitEmo
CyberAggAdo,il a pas d ami,Suggérée,Tristesse,word,ami,SitEmo
CyberAggAdo,c ta mere que je paye julien,Montrée,Colère,word,mere,SitEmo
CyberAggAdo,c ta mere que je paye julien,Montrée,Colère,word,paye,SitEmo
CyberAggAdo,c ta mere que je paye julien,Montrée,Colère,word,julien,SitEmo
CyberAggAdo,drôle,Désignée,Joie,word,drôle,SitEmo
CyberAggAdo,trop marrant,Désignée,Joie,word,marrant,SitEmo
CyberAggAdo,drole,Désignée,Joie,word,drole,SitEmo
CyberAggAdo,vous etes des gamins,Montrée,Colère,word,etes,SitEmo
CyberAggAdo,vous etes des gamins,Montrée,Colère,word,gamins,SitEmo
CyberAggAdo,personne t'as demandé ton avis,Montrée,Colère,word,t'as,SitEmo
CyberAggAdo,personne t'as demandé ton avis,Montrée,Colère,word,demandé,SitEmo
CyberAggAdo,personne t'as demandé ton avis,Montrée,Colère,word,avis,SitEmo
CyberAggAdo,personne t'as demandé ton avis,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,seulement,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,accepte,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,devoirs,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,jusqu'a,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,fin,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,annee,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,sinon,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,lycée,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,word,verra,SitEmo
CyberAggAdo,seulement si tu accepte de faire mes devoirs jusqu'a la fin de l annee ou sinon tout le lycée la verra,Suggérée,Peur,punctuation,',SitEmo
CyberAggAdo,brice ferme la,Comportementale,Colère,word,brice,SitEmo
CyberAggAdo,brice ferme la,Comportementale,Colère,word,ferme,SitEmo
CyberAggAdo,!,Montrée,Colère,punctuation,!,SitEmo
CyberAggAdo,T'es malade toi !,Montrée,Colère,word,t'es,SitEmo
CyberAggAdo,T'es malade toi !,Montrée,Colère,word,malade,SitEmo
CyberAggAdo,T'es malade toi !,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,T'es malade toi !,Montrée,Colère,punctuation,!,SitEmo
