backend,surface_lower,lemma,surface_lemma_count,dominant_mode,surface_count,surface_dominant_emotion,surface_entropy,surface_normalized_entropy,lemma_count,lemma_dominant_emotion,lemma_entropy,lemma_normalized_entropy,delta_entropy,dominant_emotion_changed,surface_share_in_lemma,granularity_class,review_priority
stanza,vs,voir,2,Montrée,9,Colère,-0.0,0.0,32,Colère,2.637,0.8319,2.637,False,0.0625,lemma_dilutes_surface,high
stanza,savoir,savoir,5,Montrée,5,Colère,-0.0,0.0,14,Colère,1.9502,0.7544,1.9502,False,0.3571,lemma_dilutes_surface,high
spacy,blague,blague,1,Suggérée,6,Colère,1.7925,0.8962,6,Joie,-0.0,0.0,-1.7925,True,0.1667,lemma_reveals_family,high
spacy,voient,voir,3,Suggérée,3,Colère,0.9183,0.9183,29,Colère,2.7091,0.8546,1.7908,False,0.1034,lemma_dilutes_surface,high
stanza,voient,voir,3,Suggérée,3,Colère,0.9183,0.9183,32,Colère,2.637,0.8319,1.7187,False,0.0938,lemma_dilutes_surface,high
spacy,attendait,attendre,3,Suggérée,3,Surprise,-0.0,0.0,10,Surprise,1.6855,0.8427,1.6855,False,0.3,lemma_dilutes_surface,high
spacy,plaignent,plaindre,3,Comportementale,3,Colère,-0.0,0.0,9,Colère,1.6577,0.8289,1.6577,False,0.3333,lemma_dilutes_surface,high
stanza,plaignent,plaindre,3,Comportementale,3,Colère,-0.0,0.0,9,Colère,1.6577,0.8289,1.6577,False,0.3333,lemma_dilutes_surface,high
stanza,blagues,blague,5,Désignée,5,Joie,-0.0,0.0,11,Joie,1.6172,0.8086,1.6172,False,0.4545,lemma_dilutes_surface,high
spacy,volé,voler,3,Suggérée,4,Colère,0.8113,0.8113,8,Colère,2.4056,0.9306,1.5943,False,0.375,lemma_dilutes_surface,high
spacy,porté,porter,4,Comportementale,4,Colère,-0.0,0.0,10,Colère,1.571,0.7855,1.571,False,0.4,lemma_dilutes_surface,high
stanza,porté,porter,4,Comportementale,4,Colère,-0.0,0.0,10,Colère,1.571,0.7855,1.571,False,0.4,lemma_dilutes_surface,high
stanza,attendait,attendre,3,Suggérée,3,Surprise,-0.0,0.0,12,Surprise,1.5511,0.7755,1.5511,False,0.25,lemma_dilutes_surface,high
spacy,sert,servir,2,Montrée,3,Colère,-0.0,0.0,5,Colère,1.5219,0.9602,1.5219,False,0.4,lemma_dilutes_surface,high
stanza,viens,venir,2,Suggérée,3,Joie,0.9183,0.9183,12,Joie,2.3554,0.9112,1.4371,False,0.1667,lemma_dilutes_surface,high
stanza,news,new,3,Suggérée,3,Colère,-0.0,0.0,8,Joie,1.4056,0.8869,1.4056,True,0.375,lemma_dilutes_surface,high
spacy,crient,crier,3,Comportementale,3,Peur,0.9183,0.9183,19,Peur,2.3135,0.8241,1.3952,False,0.1579,lemma_dilutes_surface,high
