marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
voir,word,6.0,1.0,2.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,13.0,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,2.045841640885174,0.5913808585963756
bien,lemma,6.0,1.0,4.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,14.0,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,1.9852281360342514,0.5738596263441251
bien,word,6.0,1.0,4.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,14.0,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,1.9852281360342514,0.5738596263441251
sa,word,24.0,16.0,8.0,0.0,0.0,2.0,0,0.0,6.0,0.0,0.0,56.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.0,1.958267868099842,0.5660663611761814
comme,lemma,12.0,5.0,3.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,23.0,0.5217391304347826,0.21739130434782608,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,1.941645521915528,0.5612614255634168
comme,word,12.0,5.0,3.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,23.0,0.5217391304347826,0.21739130434782608,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,1.941645521915528,0.5612614255634168
mes,word,1.0,2.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9182958340544893,0.5545118520972888
tout,lemma,13.0,9.0,1.0,1.0,0.0,3.0,0,0.0,0.0,1.0,0.0,28.0,0.4642857142857143,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.0,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,1.9005717488083727,0.5493884424739767
non,word,5.0,3.0,2.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,12.0,0.4166666666666667,0.25,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.8879185026711327,0.5457308340769579
non,lemma,5.0,3.0,2.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,12.0,0.4166666666666667,0.25,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.8879185026711327,0.5457308340769579
voir,lemma,16.0,7.0,3.0,2.0,0.0,3.0,0,0.0,0.0,0.0,0.0,31.0,0.5161290322580645,0.22580645161290322,0.0967741935483871,0.06451612903225806,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,1.8844782633310633,0.5447363818896287
son,lemma,34.0,24.0,11.0,0.0,0.0,2.0,0,0.0,6.0,0.0,0.0,77.0,0.44155844155844154,0.3116883116883117,0.14285714285714285,0.0,0.0,0.025974025974025976,0.0,0.0,0.07792207792207792,0.0,0.0,1.869690963692869,0.5404618936880036
t,lemma,17.0,6.0,3.0,1.0,0.0,0.0,0,0.0,1.0,0.0,2.0,30.0,0.5666666666666667,0.2,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,1.8485062353503128,0.5343381338690709
mec,lemma,4.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,9.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.836591668108979,0.5308940515588019
mec,word,4.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,9.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.836591668108979,0.5308940515588019
être,lemma,67.0,16.0,8.0,3.0,0.0,14.0,0,0.0,0.0,3.0,1.0,112.0,0.5982142857142857,0.14285714285714285,0.07142857142857142,0.026785714285714284,0.0,0.125,0.0,0.0,0.0,0.026785714285714284,0.008928571428571428,1.8319913535414958,0.5295642624273448
