marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
réveiller,word,1,1,1,1,4,0.25,0.25,0.25,0.25,2.00,1.00
chercher,lemma,1,1,1,1,4,0.25,0.25,0.25,0.25,2.00,1.00
parler,lemma,7,5,8,7,27,0.26,0.19,0.30,0.26,1.98,0.99
fou,lemma,4,9,8,10,31,0.13,0.29,0.26,0.32,1.93,0.97
décidé,word,1,1,1,2,5,0.20,0.20,0.20,0.40,1.92,0.96
dommage,lemma,1,1,1,2,5,0.20,0.20,0.20,0.40,1.92,0.96
comprendre,word,1,2,1,1,5,0.20,0.40,0.20,0.20,1.92,0.96
comprendre,lemma,1,2,1,2,6,0.17,0.33,0.17,0.33,1.92,0.96
bas,lemma,3,1,2,2,8,0.38,0.12,0.25,0.25,1.91,0.95
problème,word,2,1,2,3,8,0.25,0.12,0.25,0.38,1.91,0.95
façon,lemma,3,2,1,3,9,0.33,0.22,0.11,0.33,1.89,0.95
façon,word,3,2,1,3,9,0.33,0.22,0.11,0.33,1.89,0.95
juif,lemma,3,2,5,6,16,0.19,0.12,0.31,0.38,1.88,0.94
fou,word,3,9,6,4,22,0.14,0.41,0.27,0.18,1.88,0.94
tellement,lemma,2,6,3,3,14,0.14,0.43,0.21,0.21,1.88,0.94
tellement,word,2,6,3,3,14,0.14,0.43,0.21,0.21,1.88,0.94
parler,word,4,4,7,2,17,0.24,0.24,0.41,0.12,1.87,0.94
fille,lemma,2,1,3,4,10,0.20,0.10,0.30,0.40,1.85,0.92
mieux,word,1,2,3,4,10,0.10,0.20,0.30,0.40,1.85,0.92
mieux,lemma,1,2,3,4,10,0.10,0.20,0.30,0.40,1.85,0.92
produit,lemma,3,2,1,1,7,0.43,0.29,0.14,0.14,1.84,0.92
produits,word,3,2,1,1,7,0.43,0.29,0.14,0.14,1.84,0.92
complètement,word,1,2,1,3,7,0.14,0.29,0.14,0.43,1.84,0.92
complètement,lemma,1,2,1,3,7,0.14,0.29,0.14,0.43,1.84,0.92
autant,word,1,3,1,2,7,0.14,0.43,0.14,0.29,1.84,0.92
autant,lemma,1,3,1,2,7,0.14,0.43,0.14,0.29,1.84,0.92
réveiller,lemma,3,1,1,2,7,0.43,0.14,0.14,0.29,1.84,0.92
agir,lemma,3,1,1,3,8,0.38,0.12,0.12,0.38,1.81,0.91
grand,word,2,8,3,7,20,0.10,0.40,0.15,0.35,1.80,0.90
cas,word,1,1,1,3,6,0.17,0.17,0.17,0.50,1.79,0.90
part,word,2,2,2,6,12,0.17,0.17,0.17,0.50,1.79,0.90
cas,lemma,1,1,1,3,6,0.17,0.17,0.17,0.50,1.79,0.90
part,lemma,2,2,2,6,12,0.17,0.17,0.17,0.50,1.79,0.90
