marker_value,spacy_count,stanza_count,total_count,match_key,lexicon_match_status,exact_lexicon_term,exact_lexicon_category,in_lexique_emotionnel,best_candidate_term,best_candidate_category,best_candidate_confidence,best_candidate_repair_type
peur,262,262,524,peur,exact,peur,peur,True,,,,
dangereux,93,134,227,dangereux,exact,dangereux,peur,True,,,,
colère,92,104,196,colere,exact,colère,colere,True,,,,
surprise,82,85,167,surprise,exact,surprise,surprise,True,,,,
peu,68,68,136,peu,no_match,,,False,,,,
danger,60,60,120,danger,exact,danger,peur,True,,,,
heureux,60,57,117,heureux,exact,heureux,joie,True,,,,
menacer,56,43,99,menacer,exact,menacer,peur,True,,,,
triste,48,48,96,triste,exact,triste,tristesse,True,,,,
plaisir,44,44,88,plaisir,exact,plaisir,joie,True,,,,
",",42,42,84,",",no_match,,,False,,,,
choquer,46,37,83,choquer,no_match,,,False,,,,
inquiet,57,26,83,inquiet,exact,inquiet,peur,True,,,,
inquiéter,24,58,82,inquieter,exact,inquiéter,peur,True,,,,
drôle,40,40,80,drole,exact,drôle,joie,True,,,,
assez,38,38,76,assez,no_match,,,False,,,,
étonnant,38,38,76,etonnant,exact,étonnant,surprise,True,,,,
beaucoup,36,36,72,beaucoup,no_match,,,False,,,,
menace,30,42,72,menace,exact,menace,peur,True,,,,
content,34,34,68,content,exact,content,joie,True,,,,
craindre,24,40,64,craindre,exact,craindre,peur,True,,,,
pays,32,32,64,pays,no_match,,,False,,,,
inquiète,31,31,62,inquiete,repaired_high,,,False,inquiéter,peur,high,truncated_prefix_marker
mécontentement,30,31,61,mecontentement,exact,mécontentement,colere,True,,,,
malheur,30,30,60,malheur,exact,malheur,tristesse,True,,,,
heureusement,28,28,56,heureusement,exact,heureusement,joie,True,,,,
joie,28,28,56,joie,exact,joie,joie,True,,,,
souffrir,28,25,53,souffrir,no_match,,,False,,,,
terrible,26,26,52,terrible,exact,terrible,peur,True,,,,
choqué,25,25,50,choque,no_match,,,False,,,,
grand,25,25,50,grand,no_match,,,False,,,,
craignent,31,18,49,craignent,no_match,,,False,,,,
bonheur,24,24,48,bonheur,exact,bonheur,joie,True,,,,
contre,24,24,48,contre,no_match,,,False,contrit,culpabilite,medium,shared_long_stem_edit_distance
fier,24,24,48,fier,exact,fier,fierte,True,,,,
horrible,24,24,48,horrible,exact,horrible,peur,True,,,,
impressionnant,19,29,48,impressionnant,no_match,,,False,,,,
-,22,22,44,-,no_match,,,False,,,,
',21,21,42,',no_match,,,False,,,,
insulte,20,20,40,insulte,no_match,,,False,,,,
risque,20,20,40,risque,no_match,,,False,,,,
tristesse,20,20,40,tristesse,exact,tristesse,tristesse,True,,,,
dangereu,36,0,36,dangereu,repaired_high,,,False,dangereux,peur,high,truncated_prefix_marker
fou,18,18,36,fou,no_match,,,False,,,,
génial,18,18,36,genial,no_match,,,False,,,,
panique,18,18,36,panique,exact,panique,peur,True,,,,
choquante,16,18,34,choquante,no_match,,,False,,,,
contents,16,16,32,contents,repaired_high,,,False,content,joie,high,inflected_or_extended_marker
dérange,16,16,32,derange,no_match,,,False,,,,
honte,12,20,32,honte,exact,honte,embarras,True,,,,
inquiétude,16,16,32,inquietude,exact,inquiétude,peur,True,,,,
vie,16,16,32,vie,no_match,,,False,,,,
voir,16,16,32,voir,no_match,,,False,,,,
vraiment,16,16,32,vraiment,no_match,,,False,,,,
énorme,16,16,32,enorme,no_match,,,False,,,,
