marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,match_type,score,levenshtein_distance_norm_noaccent,sequence_ratio_norm_noaccent
assez,38,38,76,1,lasser,comportement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
inquiète,31,31,62,1,inquiéter,peur,marker_prefix_of_lexicon_term,0.8889,1,0.9412
inquiète,31,31,62,2,inquiétude,peur,fuzzy_levenshtein_or_sequence,0.8889,2,0.8889
inquiète,31,31,62,3,inquiet,peur,lexicon_prefix_of_marker,0.875,1,0.9333
inquiète,31,31,62,4,quiet,apaisement,lexicon_substring_of_marker,0.625,3,0.7692
contre,24,24,48,1,monstre,peur,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
contre,24,24,48,2,contrit,culpabilite,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
contre,24,24,48,3,outré,colere,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
contre,24,24,48,4,honte,embarras,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
contre,24,24,48,5,bonté,empathie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
risque,20,20,40,1,bisque,colere,fuzzy_levenshtein_or_sequence,0.8333,1,0.8333
risque,20,20,40,2,bisquer,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
risque,20,20,40,3,risée,mepris,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
dangereu,36,0,36,1,dangereux,peur,marker_prefix_of_lexicon_term,0.8889,1,0.9412
dangereu,36,0,36,2,danger,peur,lexicon_prefix_of_marker,0.75,2,0.8571
dangereu,36,0,36,3,dangereusement,peur,marker_prefix_of_lexicon_term,0.5714,6,0.7273
contents,16,16,32,1,content,joie,lexicon_prefix_of_marker,0.875,1,0.9333
contents,16,16,32,2,contenter,joie,fuzzy_levenshtein_or_sequence,0.8235,2,0.8235
voir,16,16,32,1,jouir,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
énorme,16,16,32,1,énervé,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
dangereuse,18,13,31,1,dangereux,peur,fuzzy_levenshtein_or_sequence,0.8421,2,0.8421
dangereuse,18,13,31,2,dangereusement,peur,marker_prefix_of_lexicon_term,0.7143,4,0.8333
dangereuse,18,13,31,3,danger,peur,lexicon_prefix_of_marker,0.6,4,0.75
inquiets,14,14,28,1,inquiet,peur,lexicon_prefix_of_marker,0.875,1,0.9333
inquiets,14,14,28,2,inquiéter,peur,fuzzy_levenshtein_or_sequence,0.8235,2,0.8235
inquiets,14,14,28,3,quiet,apaisement,lexicon_substring_of_marker,0.625,3,0.7692
inquiètent,14,14,28,1,inquiétant,peur,fuzzy_levenshtein_or_sequence,0.9,1,0.9
inquiètent,14,14,28,2,inquiéter,peur,fuzzy_levenshtein_or_sequence,0.8421,2,0.8421
inquiètent,14,14,28,3,inquiet,peur,lexicon_prefix_of_marker,0.7,3,0.8235
inquiètent,14,14,28,4,quiet,apaisement,lexicon_substring_of_marker,0.5,5,0.6667
subir,13,15,28,1,suer,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
subir,13,15,28,2,sueur,comportement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
dépression,13,13,26,1,expression,non_specifiee,fuzzy_levenshtein_or_sequence,0.9,2,0.9
dépression,13,13,26,2,oppression,deplaisir,fuzzy_levenshtein_or_sequence,0.8,2,0.8
aise,12,12,24,1,apaisé,apaisement,fuzzy_levenshtein_or_sequence,0.8,2,0.8
aise,12,12,24,2,risée,mepris,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
aise,12,12,24,3,haine,ressentiment,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
aise,12,12,24,4,gaîté,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
aise,12,12,24,5,aimer,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
contente,12,12,24,1,contenter,joie,marker_prefix_of_lexicon_term,0.8889,1,0.9412
contente,12,12,24,2,content,joie,lexicon_prefix_of_marker,0.875,1,0.9333
contente,12,12,24,3,mécontenter,colere,marker_substring_of_lexicon_term,0.7273,3,0.8421
