marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
',punctuation,70,46,153,192,461,0.15184381778741865,0.09978308026030369,0.3318872017353579,0.4164859002169197,1.7991071026089305,0.8995535513044652
fou,word,1,3,6,4,14,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.2857142857142857,1.7884504573082896,0.8942252286541448
fou,lemma,2,3,8,10,23,0.08695652173913043,0.13043478260869565,0.34782608695652173,0.43478260869565216,1.7420763712293135,0.8710381856146567
yeux,word,4,1,1,4,10,0.4,0.1,0.1,0.4,1.721928094887362,0.860964047443681
insulter,lemma,9,10,2,2,23,0.391304347826087,0.43478260869565216,0.08695652173913043,0.08695652173913043,1.6649269142372547,0.8324634571186273
beaucoup,word,1,1,1,4,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.664497779200461,0.8322488896002305
beaucoup,lemma,1,1,1,4,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.664497779200461,0.8322488896002305
idée,lemma,1,1,3,6,11,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.5454545454545454,1.617189572592715,0.8085947862963575
s'en,word,2,1,7,2,12,0.16666666666666666,0.08333333333333333,0.5833333333333334,0.16666666666666666,1.6140054628542202,0.8070027314271101
toucher,lemma,1,1,0,1,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.584962500721156,0.792481250360578
coeur,lemma,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.584962500721156,0.792481250360578
coeur,word,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.584962500721156,0.792481250360578
ouvert,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
tué,lemma,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
air,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
paix,lemma,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
seraient,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
homme,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
plaît,word,0,1,1,1,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
sauter,lemma,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
indigner,lemma,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
noël,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
noël,lemma,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
demander,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
dommage,word,0,1,1,1,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
paix,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
sévèrement,word,1,0,1,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
gens,word,3,0,3,4,10,0.3,0.0,0.3,0.4,1.5709505944546684,0.7854752972273342
gens,lemma,3,0,3,4,10,0.3,0.0,0.3,0.4,1.5709505944546684,0.7854752972273342
vite,word,3,0,2,3,8,0.375,0.0,0.25,0.375,1.561278124459133,0.7806390622295665
peu,lemma,0,2,3,3,8,0.0,0.25,0.375,0.375,1.561278124459133,0.7806390622295665
peu,word,0,2,3,3,8,0.0,0.25,0.375,0.375,1.561278124459133,0.7806390622295665
vite,lemma,3,0,2,3,8,0.375,0.0,0.25,0.375,1.561278124459133,0.7806390622295665
mettre,word,3,0,2,2,7,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,1.5566567074628228,0.7783283537314114
enfant,lemma,1,1,1,5,8,0.125,0.125,0.125,0.625,1.5487949406953985,0.7743974703476992
taire,lemma,3,1,12,4,20,0.15,0.05,0.6,0.2,1.533206219346495,0.7666031096732475
oeil,lemma,6,1,1,8,16,0.375,0.0625,0.0625,0.5,1.5306390622295665,0.7653195311147832
pays,word,3,0,2,4,9,0.3333333333333333,0.0,0.2222222222222222,0.4444444444444444,1.5304930567574826,0.7652465283787413
peine,lemma,0,3,2,4,9,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,1.5304930567574826,0.7652465283787413
fêter,word,2,0,1,2,5,0.4,0.0,0.2,0.4,1.5219280948873621,0.7609640474436811
réveiller,lemma,2,0,1,2,5,0.4,0.0,0.2,0.4,1.5219280948873621,0.7609640474436811
célébré,word,2,1,0,2,5,0.4,0.2,0.0,0.4,1.5219280948873621,0.7609640474436811
excuse,lemma,2,1,0,2,5,0.4,0.2,0.0,0.4,1.5219280948873621,0.7609640474436811
