col_a,col_b,phi,chi2,p_value,cramers_v,n
HATE_CAG,INTENTION_AIN,-0.01,0.00,1.0000,0.00,781
HATE_CAG,INTENTION_ATK,0.15,15.74,0.0001,0.14,781
HATE_CAG,INTENTION_CNS,-0.09,5.31,0.0212,0.08,781
HATE_CAG,INTENTION_CR,-0.07,3.26,0.0709,0.06,781
HATE_CAG,INTENTION_DFN,0.04,1.12,0.2905,0.04,781
HATE_CAG,INTENTION_EMP,-0.04,0.66,0.4182,0.03,781
HATE_CAG,INTENTION_GSL,-0.03,0.10,0.7520,0.01,781
HATE_CAG,INTENTION_OTH,-0.12,9.61,0.0019,0.11,781
HATE_NAG,INTENTION_AIN,-0.06,2.75,0.0972,0.06,781
HATE_NAG,INTENTION_ATK,-0.52,207.18,0.0000,0.52,781
HATE_NAG,INTENTION_CNS,0.35,91.99,0.0000,0.34,781
HATE_NAG,INTENTION_CR,0.29,61.24,0.0000,0.28,781
HATE_NAG,INTENTION_DFN,-0.21,33.51,0.0000,0.21,781
HATE_NAG,INTENTION_EMP,0.18,23.54,0.0000,0.17,781
HATE_NAG,INTENTION_GSL,0.07,2.85,0.0913,0.06,781
HATE_NAG,INTENTION_OTH,0.52,204.50,0.0000,0.51,781
HATE_OAG,INTENTION_AIN,0.07,2.87,0.0904,0.06,781
HATE_OAG,INTENTION_ATK,0.40,120.60,0.0000,0.39,781
HATE_OAG,INTENTION_CNS,-0.27,55.28,0.0000,0.27,781
HATE_OAG,INTENTION_CR,-0.22,36.67,0.0000,0.22,781
HATE_OAG,INTENTION_DFN,0.17,22.26,0.0000,0.17,781
HATE_OAG,INTENTION_EMP,-0.15,14.89,0.0001,0.14,781
HATE_OAG,INTENTION_GSL,-0.05,1.30,0.2541,0.04,781
HATE_OAG,INTENTION_OTH,-0.41,130.65,0.0000,0.41,781
