marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
pleurer,45,32,77,1,pleureur,comportement,shared_long_stem_edit_distance,high,0.9333,1,6,0.9333
dangereu,56,0,56,1,dangereux,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
dangereu,56,0,56,2,danger,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
colèr,53,0,53,1,colère,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
mauvais,21,24,45,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8235,3,7,0.8235
attendre,10,10,20,1,attendri,empathie,shared_long_stem_edit_distance,high,0.875,1,7,0.875
attendre,10,10,20,2,attendrir,empathie,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
affronter,10,9,19,1,affront,embarras,inflected_or_extended_marker,high,0.875,2,7,0.875
terroriste,7,9,16,1,terroriser,peur,shared_long_stem_edit_distance,high,0.9,2,8,0.9
marre,7,7,14,1,marrer,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
amuse,0,13,13,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
embête,6,7,13,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
dangereuse,11,0,11,1,dangereux,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
dangereuse,11,0,11,2,dangereusement,peur,truncated_prefix_marker,high,0.8333,4,10,0.8333
pleuré,0,11,11,1,pleureur,comportement,truncated_prefix_marker,high,0.8571,2,6,0.8571
heure,5,5,10,1,heureux,joie,truncated_prefix_marker,high,0.8333,2,5,0.8333
important,5,5,10,1,importun,colere,shared_long_stem_edit_distance,high,0.8235,2,6,0.8235
condamner,2,7,9,1,condamné,culpabilite,inflected_or_extended_marker,high,0.9412,1,8,0.9412
féliciter,4,4,8,1,félicité,joie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
importer,4,4,8,1,importuner,colere,shared_long_stem_edit_distance,high,0.8889,2,6,0.8889
fierter,7,0,7,1,fierté,fierte,inflected_or_extended_marker,high,0.9231,1,6,0.9231
plaisante,7,0,7,1,plaisant,amour,inflected_or_extended_marker,high,0.9412,1,8,0.9412
amusent,2,4,6,1,amusement,joie,shared_long_stem_edit_distance,high,0.875,2,5,0.875
décourage,3,3,6,1,décourager,tristesse,truncated_prefix_marker,high,0.9474,1,9,0.9474
décourage,3,3,6,2,décourageant,tristesse,truncated_prefix_marker,high,0.8571,3,9,0.8571
rigole,1,5,6,1,rigoler,joie,truncated_prefix_marker,high,0.9231,1,6,0.9231
rigole,1,5,6,2,rigolade,joie,shared_long_stem_edit_distance,high,0.8571,2,5,0.8571
rigole,1,5,6,3,rigolo,joie,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
terrorisme,3,3,6,1,terroriser,peur,shared_long_stem_edit_distance,high,0.9,2,8,0.9
amusante,0,5,5,1,amusant,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiétante,5,0,5,1,inquiétant,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
jalou,0,5,5,1,jaloux,jalousie,truncated_prefix_marker,high,0.9091,1,5,0.9091
redoute,5,0,5,1,redouter,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
amusé,0,4,4,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
applaudi,4,0,4,1,applaudir,admiration,truncated_prefix_marker,high,0.9412,1,8,0.9412
contente,2,2,4,1,contenter,joie,truncated_prefix_marker,high,0.9412,1,8,0.9412
contente,2,2,4,2,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
effrayé,2,2,4,1,effrayer,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
