column,reference_positive,generated_positive,delta_generated_minus_reference,relative_delta_pct
Colere,1180,1218,38,3.22
Degout,52,55,3,5.769
Joie,888,919,31,3.491
Peur,1047,1073,26,2.483
Surprise,824,822,-2,-0.243
Tristesse,673,682,9,1.337
Admiration,211,210,-1,-0.474
Culpabilite,19,19,0,0.0
Embarras,162,164,2,1.235
Fierte,202,206,4,1.98
Jalousie,7,6,-1,-14.286
Autre,1270,1285,15,1.181
Comportementale,1242,1252,10,0.805
Designee,1499,1518,19,1.268
Montree,971,952,-19,-1.957
Suggeree,1909,1924,15,0.786
Emo,5374,5502,128,2.382
Base,4133,4231,98,2.371
Complexe,568,573,5,0.88
