marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
embête,lemma,2,3,1,1,7,0.29,0.43,0.14,0.14,1.84,0.92
insulter,lemma,6,6,2,2,16,0.38,0.38,0.12,0.12,1.81,0.91
',punctuation,70,46,153,192,461,0.15,0.10,0.33,0.42,1.80,0.90
fou,word,1,3,6,4,14,0.07,0.21,0.43,0.29,1.79,0.89
fou,lemma,2,3,9,10,24,0.08,0.12,0.38,0.42,1.73,0.87
yeux,word,4,1,1,4,10,0.40,0.10,0.10,0.40,1.72,0.86
blague,lemma,1,4,5,1,11,0.09,0.36,0.45,0.09,1.68,0.84
beaucoup,lemma,1,1,1,4,7,0.14,0.14,0.14,0.57,1.66,0.83
beaucoup,word,1,1,1,4,7,0.14,0.14,0.14,0.57,1.66,0.83
noir,lemma,3,1,1,6,11,0.27,0.09,0.09,0.55,1.62,0.81
s'en,word,2,1,7,2,12,0.17,0.08,0.58,0.17,1.61,0.81
air,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
toucher,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
montrer,lemma,2,0,2,2,6,0.33,0.00,0.33,0.33,1.58,0.79
demander,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
dommage,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
paix,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
noël,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
noël,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
coeur,word,1,1,1,0,3,0.33,0.33,0.33,0.00,1.58,0.79
homme,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
agace,lemma,1,1,1,0,3,0.33,0.33,0.33,0.00,1.58,0.79
sévèrement,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
plaît,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
seraient,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
paix,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
ouvert,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
coeur,lemma,1,1,1,0,3,0.33,0.33,0.33,0.00,1.58,0.79
gens,word,3,0,3,4,10,0.30,0.00,0.30,0.40,1.57,0.79
gens,lemma,3,0,3,4,10,0.30,0.00,0.30,0.40,1.57,0.79
peu,lemma,0,2,3,3,8,0.00,0.25,0.38,0.38,1.56,0.78
vite,lemma,3,0,2,3,8,0.38,0.00,0.25,0.38,1.56,0.78
vite,word,3,0,2,3,8,0.38,0.00,0.25,0.38,1.56,0.78
peu,word,0,2,3,3,8,0.00,0.25,0.38,0.38,1.56,0.78
mettre,word,3,0,2,2,7,0.43,0.00,0.29,0.29,1.56,0.78
idée,lemma,1,1,3,7,12,0.08,0.08,0.25,0.58,1.55,0.78
enfant,lemma,1,1,1,5,8,0.12,0.12,0.12,0.62,1.55,0.77
pays,lemma,3,0,2,4,9,0.33,0.00,0.22,0.44,1.53,0.77
peine,lemma,0,3,2,4,9,0.00,0.33,0.22,0.44,1.53,0.77
pays,word,3,0,2,4,9,0.33,0.00,0.22,0.44,1.53,0.77
arrêter,lemma,10,0,7,5,22,0.45,0.00,0.32,0.23,1.53,0.76
fêter,word,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
fêter,lemma,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
excuse,lemma,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
insulter,word,4,4,2,0,10,0.40,0.40,0.20,0.00,1.52,0.76
tête,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
mains,word,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
célébré,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
mot,word,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
pardon,lemma,0,1,2,2,5,0.00,0.20,0.40,0.40,1.52,0.76
pardon,word,0,1,2,2,5,0.00,0.20,0.40,0.40,1.52,0.76
place,lemma,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
s'est,word,2,2,0,1,5,0.40,0.40,0.00,0.20,1.52,0.76
œil,lemma,7,1,1,8,17,0.41,0.06,0.06,0.47,1.52,0.76
emporter,lemma,2,1,0,1,4,0.50,0.25,0.00,0.25,1.50,0.75
féliciter,lemma,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
vieux,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
avance,lemma,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
sauter,lemma,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
dommage,lemma,0,1,1,2,4,0.00,0.25,0.25,0.50,1.50,0.75
amusant,lemma,2,4,2,0,8,0.25,0.50,0.25,0.00,1.50,0.75
loin,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
loin,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
aime,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
ouvrir,lemma,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
polémique,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
peine,word,0,2,2,4,8,0.00,0.25,0.25,0.50,1.50,0.75
