marker_value,marker_type,Admiration,Colère,Culpabilité,Dégoût,Embarras,Fierté,Jalousie,Joie,Peur,Surprise,Tristesse,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
n'a,word,1,3,0,1,2,0,0,2,3,2,5,19,0.16,0.05,0.11,0.16,0.11,0.26,0.05,0.00,0.11,0.00,0.00,2.82,0.82
;,punctuation,24,93,1,4,8,49,0,71,138,36,97,521,0.18,0.01,0.14,0.26,0.07,0.19,0.05,0.00,0.02,0.09,0.00,2.75,0.79
vu,word,1,1,0,1,1,1,0,0,2,1,0,8,0.12,0.12,0.00,0.25,0.12,0.00,0.12,0.00,0.12,0.12,0.00,2.75,0.79
normal,lemma,0,1,0,0,2,1,0,1,1,1,2,9,0.11,0.00,0.11,0.11,0.11,0.22,0.00,0.00,0.22,0.11,0.00,2.73,0.79
normal,word,0,1,0,0,2,1,0,1,1,1,2,9,0.11,0.00,0.11,0.11,0.11,0.22,0.00,0.00,0.22,0.11,0.00,2.73,0.79
voir,lemma,1,11,0,3,1,3,0,4,4,2,1,30,0.37,0.10,0.13,0.13,0.07,0.03,0.03,0.00,0.03,0.10,0.00,2.72,0.79
',punctuation,5,158,3,14,10,14,1,92,62,49,53,461,0.34,0.03,0.20,0.13,0.11,0.11,0.01,0.01,0.02,0.03,0.00,2.65,0.77
réussir,lemma,0,1,2,0,2,5,0,6,2,0,3,21,0.05,0.00,0.29,0.10,0.00,0.14,0.00,0.10,0.10,0.24,0.00,2.59,0.75
venir,word,0,1,0,0,1,1,0,1,1,0,1,6,0.17,0.00,0.17,0.17,0.00,0.17,0.00,0.00,0.17,0.17,0.00,2.58,0.75
argent,word,0,4,0,1,0,1,0,1,1,2,2,12,0.33,0.08,0.08,0.08,0.17,0.17,0.00,0.00,0.00,0.08,0.00,2.58,0.75
grand,lemma,2,3,0,0,0,4,0,9,4,2,2,26,0.12,0.00,0.35,0.15,0.08,0.08,0.08,0.00,0.00,0.15,0.00,2.57,0.74
-,punctuation,0,16,1,1,2,0,0,13,11,8,8,60,0.27,0.02,0.22,0.18,0.13,0.13,0.00,0.02,0.03,0.00,0.00,2.57,0.74
",",punctuation,2,16,0,2,0,3,0,21,5,6,5,60,0.27,0.03,0.35,0.08,0.10,0.08,0.03,0.00,0.00,0.05,0.00,2.51,0.73
trouver,lemma,0,1,0,0,1,1,0,3,5,2,1,14,0.07,0.00,0.21,0.36,0.14,0.07,0.00,0.00,0.07,0.07,0.00,2.50,0.72
noir,lemma,0,2,0,0,0,1,0,2,2,1,3,11,0.18,0.00,0.18,0.18,0.09,0.27,0.00,0.00,0.00,0.09,0.00,2.48,0.72
grand,word,2,2,0,0,0,0,0,3,2,1,1,11,0.18,0.00,0.27,0.18,0.09,0.09,0.18,0.00,0.00,0.00,0.00,2.48,0.72
réussi,word,1,0,2,0,2,3,0,4,0,0,2,14,0.00,0.00,0.29,0.00,0.00,0.14,0.07,0.14,0.14,0.21,0.00,2.47,0.71
encore,lemma,2,2,0,0,1,0,0,1,3,3,0,12,0.17,0.00,0.08,0.25,0.25,0.00,0.17,0.00,0.08,0.00,0.00,2.46,0.71
encore,word,2,2,0,0,1,0,0,1,3,3,0,12,0.17,0.00,0.08,0.25,0.25,0.00,0.17,0.00,0.08,0.00,0.00,2.46,0.71
penser,lemma,0,3,0,1,0,1,0,1,0,2,2,10,0.30,0.10,0.10,0.00,0.20,0.20,0.00,0.00,0.00,0.10,0.00,2.45,0.71
œil,lemma,0,5,0,1,1,1,0,3,1,5,0,17,0.29,0.06,0.18,0.06,0.29,0.00,0.00,0.00,0.06,0.06,0.00,2.44,0.71
soi,lemma,0,51,1,2,5,2,0,27,52,9,26,175,0.29,0.01,0.15,0.30,0.05,0.15,0.00,0.01,0.03,0.01,0.00,2.42,0.70
crié,word,0,2,0,1,1,0,0,1,3,0,1,9,0.22,0.11,0.11,0.33,0.00,0.11,0.00,0.00,0.11,0.00,0.00,2.42,0.70
pu,word,0,2,0,1,0,0,0,3,1,1,3,11,0.18,0.09,0.27,0.09,0.09,0.27,0.00,0.00,0.00,0.00,0.00,2.41,0.70
exploser,lemma,1,1,0,1,0,1,0,1,3,0,0,8,0.12,0.12,0.12,0.38,0.00,0.00,0.12,0.00,0.00,0.12,0.00,2.41,0.70
aimer,lemma,0,5,0,3,2,1,0,2,0,0,5,18,0.28,0.17,0.11,0.00,0.00,0.28,0.00,0.00,0.11,0.06,0.00,2.39,0.69
venir,lemma,0,3,0,0,1,1,0,3,1,0,1,10,0.30,0.00,0.30,0.10,0.00,0.10,0.00,0.00,0.10,0.10,0.00,2.37,0.69
fou,lemma,1,8,0,1,1,0,0,3,3,7,0,24,0.33,0.04,0.12,0.12,0.29,0.00,0.04,0.00,0.04,0.00,0.00,2.37,0.69
chose,word,0,4,0,0,1,1,0,2,0,1,3,12,0.33,0.00,0.17,0.00,0.08,0.25,0.00,0.00,0.08,0.08,0.00,2.36,0.68
coup,lemma,0,5,0,0,0,1,0,3,5,1,4,19,0.26,0.00,0.16,0.26,0.05,0.21,0.00,0.00,0.00,0.05,0.00,2.35,0.68
premier,lemma,2,1,0,0,0,5,0,7,0,5,2,22,0.05,0.00,0.32,0.00,0.23,0.09,0.09,0.00,0.00,0.23,0.00,2.33,0.67
battre,lemma,0,4,0,0,1,1,0,4,3,1,0,14,0.29,0.00,0.29,0.21,0.07,0.00,0.00,0.00,0.07,0.07,0.00,2.32,0.67
vraiment,word,1,1,0,0,0,1,0,0,1,2,4,10,0.10,0.00,0.00,0.10,0.20,0.40,0.10,0.00,0.00,0.10,0.00,2.32,0.67
vraiment,lemma,1,1,0,0,0,1,0,0,1,2,4,10,0.10,0.00,0.00,0.10,0.20,0.40,0.10,0.00,0.00,0.10,0.00,2.32,0.67
explosé,word,1,1,0,1,0,1,0,1,0,0,0,5,0.20,0.20,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,2.32,0.67
vrai,word,1,1,0,0,0,1,0,1,0,1,0,5,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.20,0.00,2.32,0.67
suivre,lemma,1,1,0,0,0,1,0,1,0,1,0,5,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.20,0.00,2.32,0.67
seul,word,1,1,0,0,1,1,0,0,0,0,1,5,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.20,0.00,2.32,0.67
