corpus,file_id,unit_id,start_idx,end_idx,text_span,remarque
Albert_dataset,Albert11_Somalie,a2_1615815360777,268,276,l’espoir,espoir
Albert_dataset,Albert15_Castor_vacher,a2_1619191877092,393,402,curiosité,curiosité
Albert_dataset,Albert2-art_odeur,a2_1614678597659,82,94,la curiosité,curiosité
Albert_dataset,Albert21-A3_Carotte_miraculeuse,a2_1619516548732,288,296,soulagée,soulagement
Albert_dataset,Albert25-A3_LUnesco_gardienne_de_la_culture_mondiale,a2_1616492129771,497,508,traumatisme,traumatisme
Albert_dataset,Albert29-A3_Oumuamua_letrange_visiteur_de_notre_galaxie,a2_1616581290095,1495,1507,la curiosité,curiosité
Albert_dataset,Albert29-A3_Oumuamua_letrange_visiteur_de_notre_galaxie,a2_1620132490436,722,730,intrigue,curiosité
Albert_dataset,Albert29-A3_Oumuamua_letrange_visiteur_de_notre_galaxie,a2_1620132510694,1369,1379,a intrigué,curiosité
Albert_dataset,Albert31-A3_vache_qui_rit,a2_1616594846607,354,364,compassion,compassion
Albert_dataset,Albert32-A3_machine_avenir_homme,a2_1616598043869,274,283,fascinent,fascination
Albert_dataset,Albert33-A3_nouveau_debat_armes_feu,a2_1616600398896,3995,3998,ému,émotion
Albert_dataset,Albert34-A3_mysteres_momie_Ata_reveles,a2_1616667345374,262,270,intrigué,curiosité
Albert_dataset,Albert73-A3_a-t-on_decouvert_tombeau_Romulus,a2_1618229988207,225,230,a ému,émotion
CorpusCovid,covid_10-13_MonQuotidien_Temoignages_Martin-raconte,a2_1621433000072,2021,2028,soulagé,soulagement
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618517052781,649,665,un petit sourire,empathie
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618586822148,10774,10779,aimer,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618589410081,16847,16872,C'est quoi des tombeaux ?,curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618589742132,17213,17218,adore,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618589852957,17361,17365,aime,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618589880436,17523,17527,aime,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618590083755,18289,18300,'a remercié,gratitude
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618591041662,20621,20625,aime,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618591175090,20697,20719,C'est quoi le phœnix ?,curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1618591178097,20759,20784,C'est quoi Mythologique ?,curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620324974441,24376,24382,cruels,haine
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620585806165,25549,25564,ça m'arrangeait,soulagement
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620588547699,27378,27436,"Une fois que Frrrintek irait mieux, tout le reste suivrait",espoir
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620588930404,27343,27376,Il fallait que je sauve mon frère,détermination
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620588519743,27294,27341,"Il fallait que je trouve une solution, une idée",détermination
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620589659270,27742,27807,"Je me suis dit qu'il faudrait que je trouve un signe, un indice.",détermination
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620591413296,28754,28790,TU ES MON ARRIERE-PETIT FILS PREFERE,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620738581847,30199,30203,aime,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620741883661,37646,37673,Maman m'a caressé les mains,empathie
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620741897093,38103,38117,a été soulagé.,soulagement
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620757807116,29965,30003,"Tiens, tu peux la lire de toute façon.",résignation
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620758041233,30171,30175,aimé,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620758203082,30413,30443,C'est une fille de ta classe ?,curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620758206082,30451,30485,Elle a un problème d'orthographe ?,curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620758616044,30784,30798,crise de folie,folie
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620762107393,32582,32586,aimé,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620764348778,34196,34200,aimé,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620764351748,34224,34228,aime,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620899696637,37675,37731,Elle m'a dit que les grandes personnes avaient été bêtes,empathie
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620901609825,39077,39134,je lui ai demandé pourquoi il ne m'en avait jamais parlé.,curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1621372315961,9523,9528,adore,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1621372405499,7122,7127,adore,amour
