match_scope,column,matched_rows,mismatched_rows,agreement_pct,reference_1_generated_0,reference_0_generated_1
exact_TEXT_occurrence,Colere,26186,2,99.992,1,1
exact_TEXT_occurrence,Degout,26186,0,100.0,0,0
exact_TEXT_occurrence,Joie,26186,1,99.996,1,0
exact_TEXT_occurrence,Peur,26186,1,99.996,1,0
exact_TEXT_occurrence,Surprise,26186,3,99.989,1,2
exact_TEXT_occurrence,Tristesse,26186,2,99.992,2,0
exact_TEXT_occurrence,Admiration,26186,0,100.0,0,0
exact_TEXT_occurrence,Culpabilite,26186,0,100.0,0,0
exact_TEXT_occurrence,Embarras,26186,0,100.0,0,0
exact_TEXT_occurrence,Fierte,26186,1,99.996,1,0
exact_TEXT_occurrence,Jalousie,26186,0,100.0,0,0
exact_TEXT_occurrence,Autre,26186,0,100.0,0,0
exact_TEXT_occurrence,Comportementale,26186,0,100.0,0,0
exact_TEXT_occurrence,Designee,26186,0,100.0,0,0
exact_TEXT_occurrence,Montree,26186,2,99.992,1,1
exact_TEXT_occurrence,Suggeree,26186,2,99.992,2,0
exact_TEXT_occurrence,Emo,26186,4,99.985,3,1
exact_TEXT_occurrence,Base,26186,4,99.985,3,1
exact_TEXT_occurrence,Complexe,26186,1,99.996,1,0
space_normalized_TEXT_occurrence,Colere,26186,2,99.992,1,1
space_normalized_TEXT_occurrence,Degout,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Joie,26186,1,99.996,1,0
space_normalized_TEXT_occurrence,Peur,26186,1,99.996,1,0
space_normalized_TEXT_occurrence,Surprise,26186,3,99.989,1,2
space_normalized_TEXT_occurrence,Tristesse,26186,2,99.992,2,0
space_normalized_TEXT_occurrence,Admiration,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Culpabilite,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Embarras,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Fierte,26186,1,99.996,1,0
space_normalized_TEXT_occurrence,Jalousie,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Autre,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Comportementale,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Designee,26186,0,100.0,0,0
space_normalized_TEXT_occurrence,Montree,26186,2,99.992,1,1
space_normalized_TEXT_occurrence,Suggeree,26186,2,99.992,2,0
space_normalized_TEXT_occurrence,Emo,26186,4,99.985,3,1
space_normalized_TEXT_occurrence,Base,26186,4,99.985,3,1
space_normalized_TEXT_occurrence,Complexe,26186,1,99.996,1,0
