corpus,file_id,unit_id,type,start_idx,end_idx,text_span,source_unit_ids,segments,is_discontinuous,discontinuous_group_id,mode,categorie1,categorie2,nature,declencheur,remarque
Albert_dataset,Albert1-Colombie,a2_1614603363833,SitEmo,352,386,La guerre entre les deux fait rage,"[""a2_1614603363833""]","[[352, 386]]",False,,Suggeree,Peur,Aucune,Proposition,guerre; fait rage,
Albert_dataset,Albert1-Colombie,discontinuous:a2_1614603262759+a2_1618999448031,SitEmo,9,90,Depuis plus de 50 ans est rongée par une guerre,"[""a2_1614603262759"", ""a2_1618999448031""]","[[9, 30], [65, 90]]",True,discontinuous:a2_1614603262759+a2_1618999448031,Suggeree,Colere,Aucune,Proposition,rongée; guerre,
Albert_dataset,Albert1-Gabon,a2_1614603879319,SitEmo,621,668,réclament vigoureusement un recomptage des voix,"[""a2_1614603879319""]","[[621, 668]]",False,,Comportementale,Colere,Aucune,Proposition,réclament,
Albert_dataset,Albert1-Gabon,a2_1615391944086,SitEmo,469,499,les élections ont été truquées,"[""a2_1615391944086""]","[[469, 499]]",False,,Suggeree,Colere,Aucune,Proposition,truquées,
Albert_dataset,Albert1-Gabon,discontinuous:a2_1614603685181+a2_1618999886504,SitEmo,725,759,se sont affrontés violemment,"[""a2_1614603685181"", ""a2_1618999886504""]","[[725, 732], [739, 759]]",True,discontinuous:a2_1614603685181+a2_1618999886504,Comportementale,Colere,Aucune,Proposition,affrontés,
Albert_dataset,Albert1-Gabon,discontinuous:a2_1614604051581+a2_1618999753919,SitEmo,424,453,réclame la victoire,"[""a2_1614604051581"", ""a2_1618999753919""]","[[424, 431], [442, 453]]",True,discontinuous:a2_1614604051581+a2_1618999753919,Comportementale,Colere,Aucune,Proposition,réclame,
Albert_dataset,Albert1-Italie,a2_1614604827768,SitEmo,220,248,se sont retrouvées sans-abri,"[""a2_1614604827768""]","[[220, 248]]",False,,Suggeree,Tristesse,Aucune,Proposition,sans-abri,
Albert_dataset,Albert1-Italie,a1_1614606659003,SitEmo,149,194,De nombreuses maisons ont aussi été détruites,"[""a1_1614606659003""]","[[149, 194]]",False,,Suggeree,Tristesse,Aucune,Proposition,détruites,
Albert_dataset,Albert1-Pikachu,a2_1614611794451,SitEmo,1980,2107,redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes,"[""a2_1614611794451""]","[[1980, 2107]]",False,,Designee,Peur,Aucune,Proposition,redoute,
Albert_dataset,Albert1-Pikachu,a2_1614612111227,SitEmo,2172,2182,s’inquiète,"[""a2_1614612111227""]","[[2172, 2182]]",False,,Designee,Peur,Aucune,Proposition,s'inquiète,
