marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
dangereu,0,0,36,1,dangereux,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
dangereu,0,0,36,2,danger,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
dangereu,0,0,36,3,dangereusement,peur,truncated_prefix_marker,medium,0.7273,6,8,0.7273
inquiète,0,0,31,1,inquiéter,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
inquiète,0,0,31,2,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiète,0,0,31,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
contre,0,0,24,1,contrit,culpabilite,shared_long_stem_edit_distance,medium,0.7692,2,5,0.7692
dangereuse,0,0,18,1,dangereux,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
dangereuse,0,0,18,2,dangereusement,peur,truncated_prefix_marker,high,0.8333,4,10,0.8333
dangereuse,0,0,18,3,danger,peur,inflected_or_extended_marker,medium,0.75,4,6,0.75
contents,0,0,16,1,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
contents,0,0,16,2,contenter,joie,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
inquiets,0,0,14,1,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiets,0,0,14,2,inquiéter,peur,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
inquiètent,0,0,14,1,inquiéter,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
inquiètent,0,0,14,2,inquiet,peur,inflected_or_extended_marker,high,0.8235,3,7,0.8235
inquiètent,0,0,14,3,inquiétant,peur,same_prefix_fuzzy,medium,0.9,1,7,0.9
plaisante,0,0,14,1,plaisant,amour,inflected_or_extended_marker,high,0.9412,1,8,0.9412
colèr,0,0,12,1,colère,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
colèr,0,0,12,2,coléreux,colere,truncated_prefix_marker,medium,0.7692,3,5,0.7692
colèr,0,0,12,3,colérique,colere,truncated_prefix_marker,medium,0.7143,4,5,0.7143
colèr,0,0,12,4,coléreusement,colere,truncated_prefix_marker,medium,0.5556,8,5,0.5556
contente,0,0,12,1,contenter,joie,truncated_prefix_marker,high,0.9412,1,8,0.9412
contente,0,0,12,2,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
contente,0,0,12,3,contentement,joie,truncated_prefix_marker,medium,0.8,4,8,0.8
redoute,0,0,12,1,redouter,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
dangereuses,0,0,11,1,danger,peur,inflected_or_extended_marker,medium,0.7059,5,6,0.7059
fière,0,0,11,1,fierté,fierte,same_prefix_fuzzy,medium,0.9091,1,4,0.9091
fière,0,0,11,2,fier,fierte,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
