marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
inquiète,31,31,62,1,inquiéter,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
inquiète,31,31,62,2,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiète,31,31,62,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
dangereu,36,0,36,1,dangereux,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
dangereu,36,0,36,2,danger,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
contents,16,16,32,1,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
contents,16,16,32,2,contenter,joie,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
dangereuse,18,13,31,1,dangereux,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
dangereuse,18,13,31,2,dangereusement,peur,truncated_prefix_marker,high,0.8333,4,10,0.8333
inquiets,14,14,28,1,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiets,14,14,28,2,inquiéter,peur,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
inquiètent,14,14,28,1,inquiéter,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
inquiètent,14,14,28,2,inquiet,peur,inflected_or_extended_marker,high,0.8235,3,7,0.8235
contente,12,12,24,1,contenter,joie,truncated_prefix_marker,high,0.9412,1,8,0.9412
contente,12,12,24,2,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
plaisante,14,7,21,1,plaisant,amour,inflected_or_extended_marker,high,0.9412,1,8,0.9412
marre,10,10,20,1,marrer,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
étonnante,10,10,20,1,étonnant,surprise,inflected_or_extended_marker,high,0.9412,1,8,0.9412
redoute,12,6,18,1,redouter,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
craint,9,8,17,1,crainte,peur,truncated_prefix_marker,high,0.9231,1,6,0.9231
craint,9,8,17,2,craintif,peur,truncated_prefix_marker,high,0.8571,2,6,0.8571
mécontents,8,8,16,1,mécontent,colere,inflected_or_extended_marker,high,0.9474,1,9,0.9474
mécontents,8,8,16,2,mécontenter,colere,shared_long_stem_edit_distance,high,0.8571,2,9,0.8571
regrette,8,8,16,1,regretter,culpabilite,truncated_prefix_marker,high,0.9412,1,8,0.9412
regrette,8,8,16,2,regret,culpabilite,inflected_or_extended_marker,high,0.8571,2,6,0.8571
terroriste,8,8,16,1,terroriser,peur,shared_long_stem_edit_distance,high,0.9,2,8,0.9
tristes,8,8,16,1,triste,tristesse,inflected_or_extended_marker,high,0.9231,1,6,0.9231
tristes,8,8,16,2,tristesse,tristesse,truncated_prefix_marker,high,0.875,2,7,0.875
amuse,5,10,15,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
menacent,7,7,14,1,menace,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
menacent,7,7,14,2,menacé,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
colèr,12,0,12,1,colère,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
décourage,6,6,12,1,décourager,tristesse,truncated_prefix_marker,high,0.9474,1,9,0.9474
décourage,6,6,12,2,décourageant,tristesse,truncated_prefix_marker,high,0.8571,3,9,0.8571
embête,6,6,12,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
inquiétudes,6,6,12,1,inquiétude,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
mauvais,6,6,12,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8235,3,7,0.8235
menaces,6,6,12,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menaces,6,6,12,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menaces,6,6,12,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
menacés,6,6,12,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacés,6,6,12,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacés,6,6,12,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
amusante,3,8,11,1,amusant,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
menaçante,7,4,11,1,menaçant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
effrayants,5,5,10,1,effrayant,peur,inflected_or_extended_marker,high,0.9474,1,9,0.9474
effrayé,5,5,10,1,effrayer,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
fâchés,5,5,10,1,fâché,colere,inflected_or_extended_marker,high,0.9091,1,5,0.9091
fâchés,5,5,10,2,fâcher,colere,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
mauvaise,5,5,10,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8889,2,8,0.8889
surprises,5,5,10,1,surprise,surprise,inflected_or_extended_marker,high,0.9412,1,8,0.9412
surprises,5,5,10,2,surpris,surprise,inflected_or_extended_marker,high,0.875,2,7,0.875
tensions,5,5,10,1,tension,deplaisir,inflected_or_extended_marker,high,0.9333,1,7,0.9333
étonnés,5,5,10,1,étonné,surprise,inflected_or_extended_marker,high,0.9231,1,6,0.9231
étonnés,5,5,10,2,étonner,surprise,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
amusent,4,4,8,1,amusement,joie,shared_long_stem_edit_distance,high,0.875,2,5,0.875
surprenante,4,4,8,1,surprenant,surprise,inflected_or_extended_marker,high,0.9524,1,10,0.9524
tendue,4,4,8,1,tendu,deplaisir,inflected_or_extended_marker,high,0.9091,1,5,0.9091
émerveillée,4,4,8,1,émerveillé,admiration,inflected_or_extended_marker,high,0.9524,1,10,0.9524
émerveillée,4,4,8,2,émerveiller,admiration,shared_long_stem_edit_distance,high,0.9091,1,10,0.9091
embêtée,2,5,7,1,embêter,deplaisir,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
inquiétante,5,2,7,1,inquiétant,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
lassée,3,4,7,1,lasser,comportement,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
terrorisé,3,4,7,1,terroriser,peur,truncated_prefix_marker,high,0.9474,1,9,0.9474
affolée,2,4,6,1,affolé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
affolée,2,4,6,2,affoler,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
affreuse,2,4,6,1,affres,peur,shared_long_stem_edit_distance,high,0.8571,2,5,0.8571
alarmante,2,4,6,1,alarmant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
amusé,2,4,6,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
embêté,2,4,6,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
excitée,2,4,6,1,excité,comportement,inflected_or_extended_marker,high,0.9231,1,6,0.9231
excitée,2,4,6,2,exciter,comportement,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
humiliante,2,4,6,1,humiliant,embarras,inflected_or_extended_marker,high,0.9474,1,9,0.9474
inquiétantes,3,3,6,1,inquiétant,peur,inflected_or_extended_marker,high,0.9091,2,10,0.9091
marrantes,3,3,6,1,marrant,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
menacée,3,3,6,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacée,3,3,6,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacée,3,3,6,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
menaçait,3,3,6,1,menaçant,peur,shared_long_stem_edit_distance,high,0.875,1,6,0.875
mécontentements,3,3,6,1,mécontentement,colere,inflected_or_extended_marker,high,0.9655,1,14,0.9655
préoccupations,3,3,6,1,préoccupation,peur,inflected_or_extended_marker,high,0.963,1,13,0.963
redoutent,2,4,6,1,redouter,peur,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
scandalisé,2,4,6,1,scandaliser,colere,truncated_prefix_marker,high,0.9524,1,10,0.9524
scandalisé,2,4,6,2,scandale,colere,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
jalou,0,5,5,1,jaloux,jalousie,truncated_prefix_marker,high,0.9091,1,5,0.9091
étonn,5,0,5,1,étonné,surprise,truncated_prefix_marker,high,0.9091,1,5,0.9091
étonn,5,0,5,2,étonner,surprise,truncated_prefix_marker,high,0.8333,2,5,0.8333
abattus,2,2,4,1,abattu,tristesse,inflected_or_extended_marker,high,0.9231,1,6,0.9231
accablés,2,2,4,1,accabler,tristesse,shared_long_stem_edit_distance,high,0.875,1,7,0.875
amusantes,2,2,4,1,amusant,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
angoisses,2,2,4,1,angoisse,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoisses,2,2,4,2,angoissé,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoisses,2,2,4,3,angoisser,peur,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
consternée,2,2,4,1,consterner,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
contentes,2,2,4,1,contenter,joie,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
contentes,2,2,4,2,content,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
dangers,2,2,4,1,danger,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
drôles,2,2,4,1,drôle,joie,inflected_or_extended_marker,high,0.9091,1,5,0.9091
désespérés,2,2,4,1,désespéré,tristesse,inflected_or_extended_marker,high,0.9474,1,9,0.9474
désespérés,2,2,4,2,désespérer,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
effrayée,2,2,4,1,effrayer,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
effrayés,2,2,4,1,effrayer,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
endeuillée,2,2,4,1,endeuiller,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
ennuis,2,2,4,1,ennui,tristesse,inflected_or_extended_marker,high,0.9091,1,5,0.9091
enthousiasmante,2,2,4,1,enthousiasmant,joie,inflected_or_extended_marker,high,0.9655,1,14,0.9655
féliciter,2,2,4,1,félicité,joie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
horribles,2,2,4,1,horrible,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
humiliations,2,2,4,1,humiliation,embarras,inflected_or_extended_marker,high,0.9565,1,11,0.9565
inquiété,2,2,4,1,inquiéter,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
