corpus,file_id,unit_id,type,start_idx,end_idx,text_span,mode,categorie1,categorie2,remarque
Albert_dataset,Albert1-Colombie,a2_1614603262759,SitEmo,9,30,Depuis plus de 50 ans,Suggeree,Colere,Aucune,
Albert_dataset,Albert1-Colombie,a2_1614603363833,SitEmo,352,386,La guerre entre les deux fait rage,Suggeree,Peur,Aucune,
Albert_dataset,Albert1-Colombie,a2_1618999448031,SitEmo,65,90,est rongée par une guerre,,,,
Albert_dataset,Albert1-Gabon,a2_1614603685181,SitEmo,725,732,se sont,Comportementale,Colere,Aucune,
Albert_dataset,Albert1-Gabon,a2_1614603879319,SitEmo,621,668,réclament vigoureusement un recomptage des voix,Comportementale,Colere,Aucune,
Albert_dataset,Albert1-Gabon,a2_1614604051581,SitEmo,424,431,réclame,Comportementale,Colere,Aucune,
Albert_dataset,Albert1-Gabon,a2_1615391944086,SitEmo,469,499,les élections ont été truquées,Suggeree,Colere,Aucune,
Albert_dataset,Albert1-Gabon,a2_1618999753919,SitEmo,442,453,la victoire,,,,
Albert_dataset,Albert1-Gabon,a2_1618999886504,SitEmo,739,759,affrontés violemment,,,,
Albert_dataset,Albert1-Italie,a2_1614604827768,SitEmo,220,248,se sont retrouvées sans-abri,Suggeree,Tristesse,Aucune,
Albert_dataset,Albert1-Italie,a1_1614606659003,SitEmo,149,194,De nombreuses maisons ont aussi été détruites,Suggeree,Tristesse,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1614611794451,SitEmo,1980,2107,redoute que des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes,Designee,Peur,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1614612111227,SitEmo,2172,2182,s’inquiète,Designee,Peur,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1614612623187,SitEmo,2371,2535,craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école,Designee,Peur,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1614612775363,SitEmo,1941,1952,inquiétudes,Designee,Peur,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1614787532792,SitEmo,292,301,un danger,Suggeree,Peur,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1619001350532,SitEmo,1992,2107,des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes,Suggeree,Peur,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1619001578915,SitEmo,2243,2328,certains militaires pourraient finir par devenir dépendants et délaisser leur travail,Suggeree,Peur,Aucune,
Albert_dataset,Albert1-Pikachu,a2_1619001648424,SitEmo,2385,2535,les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école,Suggeree,Peur,Aucune,
