col_a,col_b,phi,chi2,p_value,cramers_v,n
ROLE_bully,HATE_CAG,0.04,1.08,0.2990,0.04,781
ROLE_bully,HATE_NAG,-0.18,24.09,0.0000,0.18,781
ROLE_bully,HATE_OAG,0.14,15.00,0.0001,0.14,781
ROLE_bully_support,HATE_CAG,0.07,3.22,0.0727,0.06,781
ROLE_bully_support,HATE_NAG,-0.26,53.48,0.0000,0.26,781
ROLE_bully_support,HATE_OAG,0.21,32.33,0.0000,0.20,781
ROLE_conciliator,HATE_CAG,-0.08,4.98,0.0256,0.08,781
ROLE_conciliator,HATE_NAG,0.28,58.66,0.0000,0.27,781
ROLE_conciliator,HATE_OAG,-0.21,32.67,0.0000,0.20,781
ROLE_victim,HATE_CAG,-0.07,3.03,0.0819,0.06,781
ROLE_victim,HATE_NAG,0.15,16.81,0.0000,0.15,781
ROLE_victim,HATE_OAG,-0.10,6.97,0.0083,0.09,781
ROLE_victim_support,HATE_CAG,0.02,0.18,0.6673,0.02,781
ROLE_victim_support,HATE_NAG,0.07,3.81,0.0509,0.07,781
ROLE_victim_support,HATE_OAG,-0.08,4.92,0.0265,0.08,781
