col_a,col_b,phi,chi2,p_value,cramers_v,n
HATE_CAG,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
HATE_CAG,VERBAL_ABUSE_DNG,0.05,1.26,0.2615,0.04,781
HATE_CAG,VERBAL_ABUSE_NCG,-0.11,8.07,0.0045,0.10,781
HATE_CAG,VERBAL_ABUSE_OTH,0.23,41.29,0.0000,0.23,781
HATE_CAG,VERBAL_ABUSE_THR,0.11,7.54,0.0060,0.10,781
HATE_NAG,VERBAL_ABUSE_BLM,-0.03,0.00,1.0000,0.00,781
HATE_NAG,VERBAL_ABUSE_DNG,-0.26,51.94,0.0000,0.26,781
HATE_NAG,VERBAL_ABUSE_NCG,-0.21,32.78,0.0000,0.20,781
HATE_NAG,VERBAL_ABUSE_OTH,-0.60,278.29,0.0000,0.60,781
HATE_NAG,VERBAL_ABUSE_THR,-0.16,17.40,0.0000,0.15,781
HATE_OAG,VERBAL_ABUSE_BLM,0.03,0.00,1.0000,0.00,781
HATE_OAG,VERBAL_ABUSE_DNG,0.22,35.86,0.0000,0.21,781
HATE_OAG,VERBAL_ABUSE_NCG,0.27,54.84,0.0000,0.26,781
HATE_OAG,VERBAL_ABUSE_OTH,0.42,133.49,0.0000,0.41,781
HATE_OAG,VERBAL_ABUSE_THR,0.08,3.98,0.0461,0.07,781
