marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
prendre,word,1.0,1.0,0.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.584962500721156,0.792481250360578
prendre,lemma,1.0,1.0,0.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.584962500721156,0.792481250360578
apparition,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
apparition,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
hors,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
hors,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
chine,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
chine,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
inaction,lemma,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.5,1.0,0.5
inaction,word,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.5,1.0,0.5
foyers,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
foyer,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
gouvernements,word,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.5,1.0,0.5
gouvernement,lemma,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.5,1.0,0.5
temps,word,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.5,1.0,0.5
temps,lemma,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.5,1.0,0.5
pourraient,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
épidémiques,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
provinces,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
relais,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
panique,word,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,1.0,0.5
panique,lemma,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,1.0,0.5
développement,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
développement,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
province,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
épidémique,lemma,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
révolter,lemma,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,1.0,0.5
relais,word,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.5
',punctuation,0.0,0.0,3.0,5.0,8.0,0.0,0.0,0.375,0.625,0.954434002924965,0.4772170014624825
«,punctuation,2.0,0.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9182958340544896,0.4591479170272448
»,punctuation,2.0,0.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9182958340544896,0.4591479170272448
critiqué,word,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-0.0,-0.0
!,punctuation,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,-0.0,-0.0
craindre,lemma,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
content,lemma,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,-0.0,-0.0
contente,word,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-0.0,-0.0
fier,lemma,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-0.0,-0.0
fière,word,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
beaucoup,word,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
beaucoup,lemma,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
peur,lemma,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,-0.0,-0.0
peur,word,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,-0.0,-0.0
peu,lemma,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
peu,word,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
inquiétude,lemma,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,-0.0,-0.0
inquiétude,word,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
inquiétudes,word,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
manquer,lemma,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,-0.0,-0.0
inquiéter,lemma,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-0.0,-0.0
inquiète,word,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.0,-0.0
inquiets,word,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-0.0,-0.0
inquiet,lemma,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,-0.0,-0.0
super,word,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,-0.0,-0.0
super,lemma,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,-0.0,-0.0
triste,word,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-0.0,-0.0
triste,lemma,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-0.0,-0.0
