marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
réveiller,word,1.0,1.0,1.0,1.0,4.0,0.25,0.25,0.25,0.25,2.0,1.0
fou,lemma,4.0,9.0,9.0,10.0,32.0,0.125,0.28125,0.28125,0.3125,1.9288146570363984,0.9644073285181992
parler,lemma,7.0,5.0,12.0,10.0,34.0,0.20588235294117646,0.14705882352941177,0.35294117647058826,0.29411764705882354,1.925699432827765,0.9628497164138825
dommage,lemma,1.0,1.0,1.0,2.0,5.0,0.2,0.2,0.2,0.4,1.9219280948873623,0.9609640474436811
décidé,word,1.0,1.0,1.0,2.0,5.0,0.2,0.2,0.2,0.4,1.9219280948873623,0.9609640474436811
chercher,lemma,2.0,1.0,1.0,1.0,5.0,0.4,0.2,0.2,0.2,1.9219280948873623,0.9609640474436811
comprendre,word,1.0,2.0,1.0,1.0,5.0,0.2,0.4,0.2,0.2,1.9219280948873623,0.9609640474436811
problème,word,2.0,1.0,2.0,3.0,8.0,0.25,0.125,0.25,0.375,1.9056390622295665,0.9528195311147832
façon,lemma,3.0,2.0,1.0,3.0,9.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.8910611120726526,0.9455305560363263
façon,word,3.0,2.0,1.0,3.0,9.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.8910611120726526,0.9455305560363263
juif,lemma,3.0,2.0,4.0,6.0,15.0,0.2,0.13333333333333333,0.26666666666666666,0.4,1.889246428509158,0.944623214254579
fou,word,3.0,9.0,6.0,4.0,22.0,0.13636363636363635,0.4090909090909091,0.2727272727272727,0.18181818181818182,1.8778867313886054,0.9389433656943027
tellement,word,2.0,6.0,3.0,3.0,14.0,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427,1.8773870642966133,0.9386935321483066
tellement,lemma,2.0,6.0,3.0,3.0,14.0,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427,1.8773870642966133,0.9386935321483066
parler,word,4.0,4.0,7.0,2.0,17.0,0.23529411764705882,0.23529411764705882,0.4117647058823529,0.11764705882352941,1.8726696380501497,0.9363348190250749
mieux,word,1.0,2.0,3.0,4.0,10.0,0.1,0.2,0.3,0.4,1.8464393446710154,0.9232196723355077
fille,lemma,2.0,1.0,3.0,4.0,10.0,0.2,0.1,0.3,0.4,1.8464393446710154,0.9232196723355077
mieux,lemma,1.0,2.0,3.0,4.0,10.0,0.1,0.2,0.3,0.4,1.8464393446710154,0.9232196723355077
produit,lemma,3.0,2.0,1.0,1.0,7.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.8423709931771088,0.9211854965885544
produits,word,3.0,2.0,1.0,1.0,7.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.8423709931771088,0.9211854965885544
embête,lemma,2.0,3.0,1.0,1.0,7.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,1.8423709931771088,0.9211854965885544
comprendre,lemma,1.0,2.0,1.0,3.0,7.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.8423709931771086,0.9211854965885543
complètement,word,1.0,2.0,1.0,3.0,7.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.8423709931771086,0.9211854965885543
complètement,lemma,1.0,2.0,1.0,3.0,7.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.8423709931771086,0.9211854965885543
réveiller,lemma,2.0,1.0,1.0,3.0,7.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,1.8423709931771086,0.9211854965885543
