marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
pleurer,45,32,77,1,pleureur,comportement,shared_long_stem_edit_distance,high,0.9333,1,6,0.9333
pleurer,45,32,77,2,pleutre,peur,same_prefix_fuzzy,medium,0.8571,2,4,0.8571
pleurer,45,32,77,3,pleurard,comportement,shared_long_stem_edit_distance,medium,0.8,2,5,0.8
pleurer,45,32,77,4,pleurer de rire,joie,truncated_prefix_marker,medium,0.6364,8,7,0.6364
dangereu,56,0,56,1,dangereux,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
dangereu,56,0,56,2,danger,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
dangereu,56,0,56,3,dangereusement,peur,truncated_prefix_marker,medium,0.7273,6,8,0.7273
colèr,53,0,53,1,colère,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
colèr,53,0,53,2,coléreux,colere,truncated_prefix_marker,medium,0.7692,3,5,0.7692
colèr,53,0,53,3,colérique,colere,truncated_prefix_marker,medium,0.7143,4,5,0.7143
colèr,53,0,53,4,coléreusement,colere,truncated_prefix_marker,medium,0.5556,8,5,0.5556
mauvais,21,24,45,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8235,3,7,0.8235
mauvais,21,24,45,2,mauvaisement,inhumanite,truncated_prefix_marker,medium,0.7368,5,7,0.7368
mauvais,21,24,45,3,mauvaise humeur,colere,truncated_prefix_marker,medium,0.6364,8,7,0.6364
petit,16,16,32,1,petit ami,amour,truncated_prefix_marker,medium,0.7143,4,5,0.7143
contre,12,13,25,1,contrit,culpabilite,shared_long_stem_edit_distance,medium,0.7692,2,5,0.7692
cher,11,11,22,1,chéri,amour,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
attendre,10,10,20,1,attendri,empathie,shared_long_stem_edit_distance,high,0.875,1,7,0.875
attendre,10,10,20,2,attendrir,empathie,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
affronter,10,9,19,1,affront,embarras,inflected_or_extended_marker,high,0.875,2,7,0.875
plaindre,9,8,17,1,plaire,amour,same_prefix_fuzzy,medium,0.8571,2,4,0.8571
terroriste,7,9,16,1,terroriser,peur,shared_long_stem_edit_distance,high,0.9,2,8,0.9
contester,7,8,15,1,contenter,joie,same_prefix_fuzzy,medium,0.8889,1,5,0.8889
contester,7,8,15,2,contrister,tristesse,same_prefix_fuzzy,medium,0.8421,2,4,0.8421
marre,7,7,14,1,marrer,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
marre,7,7,14,2,marrade,joie,same_prefix_fuzzy,medium,0.8333,2,4,0.8333
amuse,0,13,13,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
amuse,0,13,13,2,amusement,joie,truncated_prefix_marker,medium,0.7143,4,5,0.7143
embête,6,7,13,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
embête,6,7,13,2,embêtement,deplaisir,truncated_prefix_marker,medium,0.75,4,6,0.75
appeler,6,6,12,1,appéter,desir,same_prefix_fuzzy,medium,0.8571,1,4,0.8571
dangereuse,11,0,11,1,dangereux,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
dangereuse,11,0,11,2,dangereusement,peur,truncated_prefix_marker,high,0.8333,4,10,0.8333
dangereuse,11,0,11,3,danger,peur,inflected_or_extended_marker,medium,0.75,4,6,0.75
pleuré,0,11,11,1,pleureur,comportement,truncated_prefix_marker,high,0.8571,2,6,0.8571
pleuré,0,11,11,2,pleutre,peur,same_prefix_fuzzy,medium,0.9231,1,4,0.9231
pleuré,0,11,11,3,pleurer de rire,joie,truncated_prefix_marker,medium,0.5714,9,6,0.5714
heure,5,5,10,1,heureux,joie,truncated_prefix_marker,high,0.8333,2,5,0.8333
heure,5,5,10,2,heureusement,joie,truncated_prefix_marker,medium,0.5882,7,5,0.5882
important,5,5,10,1,importun,colere,shared_long_stem_edit_distance,high,0.8235,2,6,0.8235
place,5,5,10,1,placide,apaisement,same_prefix_fuzzy,medium,0.8333,2,4,0.8333
condamner,2,7,9,1,condamné,culpabilite,inflected_or_extended_marker,high,0.9412,1,8,0.9412
affrontement,4,4,8,1,affront,embarras,inflected_or_extended_marker,medium,0.7368,5,7,0.7368
féliciter,4,4,8,1,félicité,joie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
hont,8,0,8,1,honte,embarras,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
