marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
dangereu,0,0,36,1,dangereux,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
dangereu,0,0,36,2,danger,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
inquiète,0,0,31,1,inquiéter,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
inquiète,0,0,31,2,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiète,0,0,31,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
dangereuse,0,0,18,1,dangereux,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
dangereuse,0,0,18,2,dangereusement,peur,truncated_prefix_marker,high,0.8333,4,10,0.8333
contents,0,0,16,1,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
contents,0,0,16,2,contenter,joie,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
inquiets,0,0,14,1,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiets,0,0,14,2,inquiéter,peur,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
inquiètent,0,0,14,1,inquiéter,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
inquiètent,0,0,14,2,inquiet,peur,inflected_or_extended_marker,high,0.8235,3,7,0.8235
plaisante,0,0,14,1,plaisant,amour,inflected_or_extended_marker,high,0.9412,1,8,0.9412
colèr,0,0,12,1,colère,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
contente,0,0,12,1,contenter,joie,truncated_prefix_marker,high,0.9412,1,8,0.9412
contente,0,0,12,2,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
redoute,0,0,12,1,redouter,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
marre,0,0,10,1,marrer,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
étonnante,0,0,10,1,étonnant,surprise,inflected_or_extended_marker,high,0.9412,1,8,0.9412
craint,0,0,9,1,crainte,peur,truncated_prefix_marker,high,0.9231,1,6,0.9231
craint,0,0,9,2,craintif,peur,truncated_prefix_marker,high,0.8571,2,6,0.8571
mécontents,0,0,8,1,mécontent,colere,inflected_or_extended_marker,high,0.9474,1,9,0.9474
mécontents,0,0,8,2,mécontenter,colere,shared_long_stem_edit_distance,high,0.8571,2,9,0.8571
regrette,0,0,8,1,regretter,culpabilite,truncated_prefix_marker,high,0.9412,1,8,0.9412
regrette,0,0,8,2,regret,culpabilite,inflected_or_extended_marker,high,0.8571,2,6,0.8571
terroriste,0,0,8,1,terroriser,peur,shared_long_stem_edit_distance,high,0.9,2,8,0.9
tristes,0,0,8,1,triste,tristesse,inflected_or_extended_marker,high,0.9231,1,6,0.9231
tristes,0,0,8,2,tristesse,tristesse,truncated_prefix_marker,high,0.875,2,7,0.875
