marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
je,word,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,19.0,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,3.181366328891459,0.9196211053145861
moi,lemma,10.0,2.0,6.0,11.0,3.0,10.0,2.0,3.0,3.0,3.0,0.0,53.0,0.18867924528301888,0.03773584905660377,0.11320754716981132,0.20754716981132076,0.05660377358490566,0.18867924528301888,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.0,3.029399044832287,0.8756927087420204
j,word,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,13.0,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,3.0269868333592873,0.8749954232515358
comme,lemma,17.0,1.0,8.0,7.0,8.0,5.0,4.0,0.0,3.0,6.0,1.0,60.0,0.2833333333333333,0.016666666666666666,0.13333333333333333,0.11666666666666667,0.13333333333333333,0.08333333333333333,0.06666666666666667,0.0,0.05,0.1,0.016666666666666666,2.9566796666654147,0.8546720943222686
comme,word,17.0,1.0,8.0,7.0,8.0,5.0,4.0,0.0,3.0,6.0,1.0,60.0,0.2833333333333333,0.016666666666666666,0.13333333333333333,0.11666666666666667,0.13333333333333333,0.08333333333333333,0.06666666666666667,0.0,0.05,0.1,0.016666666666666666,2.9566796666654147,0.8546720943222686
si,word,6.0,2.0,2.0,7.0,2.0,6.0,1.0,0.0,2.0,2.0,0.0,30.0,0.2,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.06666666666666667,0.2,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,2.884522780173282,0.8338140764607808
si,lemma,6.0,2.0,2.0,7.0,2.0,6.0,1.0,0.0,2.0,2.0,0.0,30.0,0.2,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.06666666666666667,0.2,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,2.884522780173282,0.8338140764607808
voir,lemma,8.0,1.0,9.0,9.0,5.0,3.0,4.0,0.0,1.0,3.0,0.0,43.0,0.18604651162790697,0.023255813953488372,0.20930232558139536,0.20930232558139536,0.11627906976744186,0.06976744186046512,0.09302325581395349,0.0,0.023255813953488372,0.06976744186046512,0.0,2.8639841615689496,0.8278770842411101
ses,word,18.0,1.0,10.0,10.0,4.0,9.0,3.0,1.0,2.0,5.0,0.0,63.0,0.2857142857142857,0.015873015873015872,0.15873015873015872,0.15873015873015872,0.06349206349206349,0.14285714285714285,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.07936507936507936,0.0,2.859961432812774,0.8267142548518822
.,punctuation,11.0,1.0,15.0,11.0,6.0,18.0,2.0,1.0,5.0,3.0,0.0,73.0,0.1506849315068493,0.0136986301369863,0.2054794520547945,0.1506849315068493,0.0821917808219178,0.2465753424657534,0.0273972602739726,0.0136986301369863,0.0684931506849315,0.0410958904109589,0.0,2.852238154071289,0.8244817266238702
a,word,75.0,9.0,78.0,58.0,47.0,42.0,12.0,0.0,14.0,11.0,0.0,346.0,0.21676300578034682,0.02601156069364162,0.2254335260115607,0.1676300578034682,0.13583815028901733,0.12138728323699421,0.03468208092485549,0.0,0.04046242774566474,0.031791907514450865,0.0,2.8056274412296323,0.8110082090117438
une,word,65.0,2.0,69.0,76.0,55.0,38.0,12.0,2.0,11.0,18.0,0.0,348.0,0.1867816091954023,0.005747126436781609,0.19827586206896552,0.21839080459770116,0.15804597701149425,0.10919540229885058,0.034482758620689655,0.005747126436781609,0.031609195402298854,0.05172413793103448,0.0,2.7954935993527683,0.8080788717696752
un,word,66.0,3.0,77.0,89.0,53.0,38.0,20.0,1.0,8.0,21.0,0.0,376.0,0.17553191489361702,0.007978723404255319,0.2047872340425532,0.23670212765957446,0.14095744680851063,0.10106382978723404,0.05319148936170213,0.0026595744680851063,0.02127659574468085,0.05585106382978723,0.0,2.787977160858102,0.8059061337816854
ai,word,8.0,0.0,9.0,9.0,3.0,12.0,2.0,2.0,2.0,1.0,0.0,48.0,0.16666666666666666,0.0,0.1875,0.1875,0.0625,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.0,2.775939843704928,0.8024265687894697
parler,lemma,6.0,0.0,1.0,4.0,2.0,4.0,2.0,0.0,3.0,1.0,0.0,23.0,0.2608695652173913,0.0,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.0,0.13043478260869565,0.043478260869565216,0.0,2.772924455774821,0.8015549262011724
tout,lemma,31.0,4.0,31.0,20.0,13.0,25.0,3.0,0.0,3.0,7.0,0.0,137.0,0.22627737226277372,0.029197080291970802,0.22627737226277372,0.145985401459854,0.0948905109489051,0.18248175182481752,0.021897810218978103,0.0,0.021897810218978103,0.051094890510948905,0.0,2.75524293200676,0.7964438196041222
suis,word,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,12.0,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,2.7516291673878226,0.7953992073621953
elle,word,9.0,2.0,12.0,10.0,6.0,11.0,1.0,0.0,2.0,1.0,0.0,54.0,0.16666666666666666,0.037037037037037035,0.2222222222222222,0.18518518518518517,0.1111111111111111,0.2037037037037037,0.018518518518518517,0.0,0.037037037037037035,0.018518518518518517,0.0,2.7487453025366997,0.7945655834698812
était,word,11.0,1.0,9.0,7.0,6.0,7.0,3.0,0.0,2.0,0.0,0.0,46.0,0.2391304347826087,0.021739130434782608,0.1956521739130435,0.15217391304347827,0.13043478260869565,0.15217391304347827,0.06521739130434782,0.0,0.043478260869565216,0.0,0.0,2.737677081420318,0.7913661500552264
lui,lemma,53.0,2.0,49.0,58.0,26.0,36.0,13.0,0.0,5.0,10.0,0.0,252.0,0.21031746031746032,0.007936507936507936,0.19444444444444445,0.23015873015873015,0.10317460317460317,0.14285714285714285,0.051587301587301584,0.0,0.01984126984126984,0.03968253968253968,0.0,2.732332166937892,0.7898211232786799
',punctuation,37.0,1.0,23.0,37.0,26.0,26.0,4.0,2.0,3.0,5.0,0.0,164.0,0.22560975609756098,0.006097560975609756,0.1402439024390244,0.22560975609756098,0.15853658536585366,0.15853658536585366,0.024390243902439025,0.012195121951219513,0.018292682926829267,0.03048780487804878,0.0,2.7214003743388724,0.7866611265497011
voir,word,5.0,1.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,22.0,0.22727272727272727,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.0,0.0,0.09090909090909091,0.0,2.703559323951357,0.7815039064181053
",",punctuation,90.0,6.0,52.0,93.0,49.0,48.0,15.0,0.0,6.0,12.0,0.0,371.0,0.24258760107816713,0.016172506738544475,0.14016172506738545,0.25067385444743934,0.1320754716981132,0.1293800539083558,0.04043126684636118,0.0,0.016172506738544475,0.03234501347708895,0.0,2.7005776548047637,0.7806420107441079
