idx,ID,NAME,TEXT,Joie,Peur,Surprise,Tristesse,Admiration,Embarras,Jalousie,Autre,Colere,Degout,Culpabilite,Fierte,Comportementale,Designee,Montree,Suggeree,Base,Complexe,elongation,ironie,insulte,mépris / haine,argot,abréviation,interjection,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,marker_type,marker_value,source_file
0,0,Thibaut,Ho pk vous insulter Paul ?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,victim_support,NAG,,,OTH,,NEU,word,ho,CyberAdoAgg_gold_global_total_latest.xlsx
0,0,Thibaut,Ho pk vous insulter Paul ?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,victim_support,NAG,,,OTH,,NEU,word,pk,CyberAdoAgg_gold_global_total_latest.xlsx
0,0,Thibaut,Ho pk vous insulter Paul ?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,victim_support,NAG,,,OTH,,NEU,word,vous,CyberAdoAgg_gold_global_total_latest.xlsx
0,0,Thibaut,Ho pk vous insulter Paul ?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,victim_support,NAG,,,OTH,,NEU,word,insulter,CyberAdoAgg_gold_global_total_latest.xlsx
0,0,Thibaut,Ho pk vous insulter Paul ?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,victim_support,NAG,,,OTH,,NEU,word,paul,CyberAdoAgg_gold_global_total_latest.xlsx
0,0,Thibaut,Ho pk vous insulter Paul ?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,victim_support,NAG,,,OTH,,NEU,punctuation,?,CyberAdoAgg_gold_global_total_latest.xlsx
1,1,brice,parce qu'il est gros,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,bully,OAG,victim,DNG,AIN,OTH,NEG,word,parce,CyberAdoAgg_gold_global_total_latest.xlsx
1,1,brice,parce qu'il est gros,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,bully,OAG,victim,DNG,AIN,OTH,NEG,word,qu'il,CyberAdoAgg_gold_global_total_latest.xlsx
1,1,brice,parce qu'il est gros,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,bully,OAG,victim,DNG,AIN,OTH,NEG,word,est,CyberAdoAgg_gold_global_total_latest.xlsx
1,1,brice,parce qu'il est gros,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,bully,OAG,victim,DNG,AIN,OTH,NEG,word,gros,CyberAdoAgg_gold_global_total_latest.xlsx
