marker_value,marker_type,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
vu,word,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,14.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,2.9852281360342516,0.862924452662013
.,punctuation,19.0,3.0,16.0,13.0,6.0,19.0,2.0,2.0,6.0,6.0,0.0,92.0,0.20652173913043478,0.03260869565217391,0.17391304347826086,0.14130434782608695,0.06521739130434782,0.20652173913043478,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.06521739130434782,0.0,2.949527452124027,0.8526046406680741
voir,lemma,16.0,4.0,12.0,7.0,6.0,5.0,4.0,0.0,1.0,6.0,0.0,61.0,0.26229508196721313,0.06557377049180328,0.19672131147540983,0.11475409836065574,0.09836065573770492,0.08196721311475409,0.06557377049180328,0.0,0.01639344262295082,0.09836065573770492,0.0,2.8930287318883323,0.8362728479159601
réussir,lemma,1.0,0.0,6.0,3.0,1.0,3.0,1.0,2.0,2.0,5.0,0.0,24.0,0.041666666666666664,0.0,0.25,0.125,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.0,2.892079563925711,0.8359984768436984
arriver,lemma,3.0,0.0,2.0,2.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,20.0,0.15,0.0,0.1,0.1,0.25,0.2,0.1,0.0,0.05,0.05,0.0,2.803701696057349,0.8104515438179851
",",punctuation,105.0,8.0,62.0,107.0,54.0,64.0,27.0,0.0,8.0,27.0,0.0,462.0,0.22727272727272727,0.017316017316017316,0.1341991341991342,0.23160173160173161,0.11688311688311688,0.13852813852813853,0.05844155844155844,0.0,0.017316017316017316,0.05844155844155844,0.0,2.801920538434442,0.8099366737990747
taire,lemma,9.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,24.0,0.375,0.08333333333333333,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,2.7814536459234778,0.804020415070126
quatre,lemma,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0,2.75,0.7949282723741916
quatre,word,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0,2.75,0.7949282723741916
normal,word,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,9.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
