marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
nom,word,1.0,1.0,1.0,1.0,4.0,0.25,0.25,0.25,0.25,2.0,1.0
si,word,4.0,7.0,10.0,9.0,30.0,0.13333333333333333,0.23333333333333334,0.3333333333333333,0.3,1.9268875817332631,0.9634437908666316
si,lemma,4.0,7.0,10.0,9.0,30.0,0.13333333333333333,0.23333333333333334,0.3333333333333333,0.3,1.9268875817332631,0.9634437908666316
nom,lemma,1.0,1.0,2.0,1.0,5.0,0.2,0.2,0.4,0.2,1.9219280948873623,0.9609640474436811
décidé,word,1.0,1.0,1.0,2.0,5.0,0.2,0.2,0.2,0.4,1.9219280948873623,0.9609640474436811
dommage,lemma,1.0,1.0,1.0,2.0,5.0,0.2,0.2,0.2,0.4,1.9219280948873623,0.9609640474436811
servir,lemma,1.0,1.0,2.0,2.0,6.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.9182958340544896,0.9591479170272448
complètement,word,1.0,2.0,1.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.9182958340544896,0.9591479170272448
complètement,lemma,1.0,2.0,1.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.9182958340544896,0.9591479170272448
produits,word,2.0,2.0,1.0,1.0,6.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.9182958340544893,0.9591479170272447
produit,lemma,2.0,2.0,1.0,1.0,6.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.9182958340544893,0.9591479170272447
frère,word,2.0,2.0,1.0,3.0,8.0,0.25,0.25,0.125,0.375,1.9056390622295665,0.9528195311147832
frère,lemma,2.0,2.0,1.0,3.0,8.0,0.25,0.25,0.125,0.375,1.9056390622295665,0.9528195311147832
façon,word,3.0,2.0,1.0,3.0,9.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.8910611120726526,0.9455305560363263
façon,lemma,3.0,2.0,1.0,3.0,9.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.8910611120726526,0.9455305560363263
me,word,5.0,2.0,7.0,7.0,21.0,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.3333333333333333,1.8726693569100332,0.9363346784550166
fou,lemma,4.0,9.0,3.0,9.0,25.0,0.16,0.36,0.12,0.36,1.8513146886497212,0.9256573443248606
fille,lemma,2.0,1.0,3.0,4.0,10.0,0.2,0.1,0.3,0.4,1.8464393446710154,0.9232196723355077
que,lemma,18.0,52.0,26.0,62.0,158.0,0.11392405063291139,0.3291139240506329,0.16455696202531644,0.3924050632911392,1.8426850565001844,0.9213425282500922
dire,word,6.0,3.0,3.0,9.0,21.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,1.8423709931771086,0.9211854965885543
plaire,lemma,1.0,1.0,2.0,3.0,7.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.8423709931771086,0.9211854965885543
part,word,2.0,2.0,1.0,4.0,9.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,1.8365916681089791,0.9182958340544896
part,lemma,2.0,2.0,1.0,4.0,9.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,1.8365916681089791,0.9182958340544896
yeux,word,4.0,2.0,1.0,4.0,11.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.36363636363636365,1.8230679822736608,0.9115339911368304
que,word,18.0,52.0,22.0,62.0,154.0,0.11688311688311688,0.33766233766233766,0.14285714285714285,0.4025974025974026,1.8203632795046079,0.9101816397523039
agir,lemma,3.0,1.0,1.0,3.0,8.0,0.375,0.125,0.125,0.375,1.811278124459133,0.9056390622295665
cas,lemma,1.0,1.0,1.0,3.0,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,1.792481250360578,0.896240625180289
cas,word,1.0,1.0,1.0,3.0,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,1.792481250360578,0.896240625180289
tellement,lemma,2.0,5.0,3.0,1.0,11.0,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,1.789929075309999,0.8949645376549995
tellement,word,2.0,5.0,3.0,1.0,11.0,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,1.789929075309999,0.8949645376549995
vrai,lemma,1.0,3.0,2.0,5.0,11.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.45454545454545453,1.789929075309999,0.8949645376549995
comme,lemma,16.0,6.0,10.0,28.0,60.0,0.26666666666666666,0.1,0.16666666666666666,0.4666666666666667,1.784640699428294,0.892320349714147
comme,word,16.0,6.0,10.0,28.0,60.0,0.26666666666666666,0.1,0.16666666666666666,0.4666666666666667,1.784640699428294,0.892320349714147
suis,word,5.0,1.0,4.0,2.0,12.0,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.16666666666666666,1.7841591278514217,0.8920795639257109
-,punctuation,26.0,22.0,27.0,77.0,152.0,0.17105263157894737,0.14473684210526316,0.17763157894736842,0.506578947368421,1.7792205761172042,0.8896102880586021
ai,word,17.0,5.0,6.0,20.0,48.0,0.3541666666666667,0.10416666666666667,0.125,0.4166666666666667,1.771528215767682,0.885764107883841
grand,word,2.0,7.0,2.0,7.0,18.0,0.1111111111111111,0.3888888888888889,0.1111111111111111,0.3888888888888889,1.7642045065086203,0.8821022532543101
vraiment,lemma,1.0,7.0,7.0,9.0,24.0,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.375,1.7586169206466866,0.8793084603233433
vraiment,word,1.0,7.0,7.0,9.0,24.0,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.375,1.7586169206466866,0.8793084603233433
',punctuation,24.0,14.0,53.0,73.0,164.0,0.14634146341463414,0.08536585365853659,0.3231707317073171,0.4451219512195122,1.755240749641224,0.877620374820612
dire,lemma,12.0,3.0,6.0,17.0,38.0,0.3157894736842105,0.07894736842105263,0.15789473684210525,0.4473684210526316,1.7539517024856894,0.8769758512428447
jeunes,word,2.0,1.0,1.0,4.0,8.0,0.25,0.125,0.125,0.5,1.75,0.875
filles,word,2.0,1.0,1.0,4.0,8.0,0.25,0.125,0.125,0.5,1.75,0.875
décider,lemma,2.0,1.0,1.0,4.0,8.0,0.25,0.125,0.125,0.5,1.75,0.875
qu,word,9.0,26.0,18.0,52.0,105.0,0.08571428571428572,0.24761904761904763,0.17142857142857143,0.49523809523809526,1.7407000600094784,0.8703500300047392
fou,word,3.0,9.0,2.0,3.0,17.0,0.17647058823529413,0.5294117647058824,0.11764705882352941,0.17647058823529413,1.7322216637616483,0.8661108318808242
enfants,word,3.0,2.0,3.0,9.0,17.0,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.5294117647058824,1.7322216637616483,0.8661108318808242
grand,lemma,20.0,16.0,3.0,30.0,69.0,0.2898550724637681,0.2318840579710145,0.043478260869565216,0.43478260869565216,1.7259133369496724,0.8629566684748362
petit,word,7.0,5.0,1.0,10.0,23.0,0.30434782608695654,0.21739130434782608,0.043478260869565216,0.43478260869565216,1.7200660483303318,0.8600330241651659
parler,lemma,7.0,5.0,1.0,10.0,23.0,0.30434782608695654,0.21739130434782608,0.043478260869565216,0.43478260869565216,1.7200660483303318,0.8600330241651659
noir,lemma,6.0,2.0,3.0,11.0,22.0,0.2727272727272727,0.09090909090909091,0.13636363636363635,0.5,1.7176856953872666,0.8588428476936333
ce,word,16.0,14.0,13.0,51.0,94.0,0.1702127659574468,0.14893617021276595,0.13829787234042554,0.5425531914893617,1.7173295146011804,0.8586647573005902
«,punctuation,19.0,11.0,2.0,20.0,52.0,0.36538461538461536,0.21153846153846154,0.038461538461538464,0.38461538461538464,1.7157679400990609,0.8578839700495304
»,punctuation,19.0,11.0,2.0,20.0,52.0,0.36538461538461536,0.21153846153846154,0.038461538461538464,0.38461538461538464,1.7157679400990609,0.8578839700495304
trop,word,6.0,11.0,5.0,24.0,46.0,0.13043478260869565,0.2391304347826087,0.10869565217391304,0.5217391304347826,1.7145997103813222,0.8572998551906611
trop,lemma,6.0,11.0,5.0,24.0,46.0,0.13043478260869565,0.2391304347826087,0.10869565217391304,0.5217391304347826,1.7145997103813222,0.8572998551906611
",",punctuation,74.0,39.0,60.0,198.0,371.0,0.19946091644204852,0.10512129380053908,0.16172506738544473,0.5336927223719676,1.7140994140751327,0.8570497070375663
non,lemma,3.0,1.0,8.0,6.0,18.0,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.3333333333333333,1.7107770844150676,0.8553885422075338
non,word,3.0,1.0,8.0,6.0,18.0,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.3333333333333333,1.7107770844150676,0.8553885422075338
eu,word,4.0,2.0,2.0,9.0,17.0,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.5294117647058824,1.7033848993102918,0.8516924496551459
moi,lemma,5.0,5.0,23.0,20.0,53.0,0.09433962264150944,0.09433962264150944,0.4339622641509434,0.37735849056603776,1.695849363319196,0.847924681659598
en,lemma,105.0,95.0,10.0,151.0,361.0,0.29085872576177285,0.2631578947368421,0.027700831024930747,0.4182825484764543,1.6943302104513165,0.8471651052256582
ce,lemma,48.0,30.0,19.0,111.0,208.0,0.23076923076923078,0.14423076923076922,0.09134615384615384,0.5336538461538461,1.6899796132220493,0.8449898066110246
vouloir,word,4.0,2.0,1.0,7.0,14.0,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.5,1.6893917467430877,0.8446958733715438
te,word,1.0,2.0,2.0,6.0,11.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.5454545454545454,1.6858157091530304,0.8429078545765152
m,word,2.0,1.0,2.0,6.0,11.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.5454545454545454,1.6858157091530304,0.8429078545765152
certain,lemma,3.0,3.0,2.0,10.0,18.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.5555555555555556,1.6849774484867257,0.8424887242433629
aux,word,21.0,11.0,3.0,30.0,65.0,0.3230769230769231,0.16923076923076924,0.046153846153846156,0.46153846153846156,1.6799982891240965,0.8399991445620483
faire,lemma,53.0,36.0,9.0,94.0,192.0,0.2760416666666667,0.1875,0.046875,0.4895833333333333,1.6768491610625544,0.8384245805312772
en,word,105.0,95.0,8.0,149.0,357.0,0.29411764705882354,0.2661064425770308,0.022408963585434174,0.4173669467787115,1.6764520519976012,0.8382260259988006
tête,lemma,3.0,3.0,1.0,8.0,15.0,0.2,0.2,0.06666666666666667,0.5333333333333333,1.672905595320056,0.836452797660028
enfant,lemma,3.0,4.0,3.0,13.0,23.0,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.5652173913043478,1.6707145064847897,0.8353572532423948
beaucoup,word,14.0,18.0,1.0,21.0,54.0,0.25925925925925924,0.3333333333333333,0.018518518518518517,0.3888888888888889,1.669697042661208,0.834848521330604
beaucoup,lemma,14.0,18.0,1.0,21.0,54.0,0.25925925925925924,0.3333333333333333,0.018518518518518517,0.3888888888888889,1.669697042661208,0.834848521330604
