marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
inquiète,31,31,62,1,inquiéter,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
inquiète,31,31,62,2,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiète,31,31,62,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
contre,24,24,48,1,contrit,culpabilite,shared_long_stem_edit_distance,medium,0.7692,2,5,0.7692
dangereu,36,0,36,1,dangereux,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
dangereu,36,0,36,2,danger,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
dangereu,36,0,36,3,dangereusement,peur,truncated_prefix_marker,medium,0.7273,6,8,0.7273
contents,16,16,32,1,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
contents,16,16,32,2,contenter,joie,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
dangereuse,18,13,31,1,dangereux,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
dangereuse,18,13,31,2,dangereusement,peur,truncated_prefix_marker,high,0.8333,4,10,0.8333
dangereuse,18,13,31,3,danger,peur,inflected_or_extended_marker,medium,0.75,4,6,0.75
inquiets,14,14,28,1,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiets,14,14,28,2,inquiéter,peur,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
inquiètent,14,14,28,1,inquiéter,peur,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
inquiètent,14,14,28,2,inquiet,peur,inflected_or_extended_marker,high,0.8235,3,7,0.8235
inquiètent,14,14,28,3,inquiétant,peur,same_prefix_fuzzy,medium,0.9,1,7,0.9
contente,12,12,24,1,contenter,joie,truncated_prefix_marker,high,0.9412,1,8,0.9412
contente,12,12,24,2,content,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
contente,12,12,24,3,contentement,joie,truncated_prefix_marker,medium,0.8,4,8,0.8
dangereuses,11,11,22,1,danger,peur,inflected_or_extended_marker,medium,0.7059,5,6,0.7059
fière,11,11,22,1,fierté,fierte,same_prefix_fuzzy,medium,0.9091,1,4,0.9091
fière,11,11,22,2,fier,fierte,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
fière,11,11,22,3,fièrement,fierte,truncated_prefix_marker,medium,0.7143,4,5,0.7143
petit,11,11,22,1,petit ami,amour,truncated_prefix_marker,medium,0.7143,4,5,0.7143
plaisante,14,7,21,1,plaisant,amour,inflected_or_extended_marker,high,0.9412,1,8,0.9412
marre,10,10,20,1,marrer,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
marre,10,10,20,2,marrade,joie,same_prefix_fuzzy,medium,0.8333,2,4,0.8333
étonnante,10,10,20,1,étonnant,surprise,inflected_or_extended_marker,high,0.9412,1,8,0.9412
redoute,12,6,18,1,redouter,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
craint,9,8,17,1,crainte,peur,truncated_prefix_marker,high,0.9231,1,6,0.9231
craint,9,8,17,2,craintif,peur,truncated_prefix_marker,high,0.8571,2,6,0.8571
déçue,10,6,16,1,déçu,deplaisir,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
mécontents,8,8,16,1,mécontent,colere,inflected_or_extended_marker,high,0.9474,1,9,0.9474
mécontents,8,8,16,2,mécontenter,colere,shared_long_stem_edit_distance,high,0.8571,2,9,0.8571
regrette,8,8,16,1,regretter,culpabilite,truncated_prefix_marker,high,0.9412,1,8,0.9412
regrette,8,8,16,2,regret,culpabilite,inflected_or_extended_marker,high,0.8571,2,6,0.8571
terroriste,8,8,16,1,terroriser,peur,shared_long_stem_edit_distance,high,0.9,2,8,0.9
tristes,8,8,16,1,triste,tristesse,inflected_or_extended_marker,high,0.9231,1,6,0.9231
tristes,8,8,16,2,tristesse,tristesse,truncated_prefix_marker,high,0.875,2,7,0.875
amuse,5,10,15,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
amuse,5,10,15,2,amusement,joie,truncated_prefix_marker,medium,0.7143,4,5,0.7143
menacent,7,7,14,1,menace,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
menacent,7,7,14,2,menacé,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
menacent,7,7,14,3,menaçant,peur,same_prefix_fuzzy,medium,0.875,1,5,0.875
menacent,7,7,14,4,menacer,peur,shared_long_stem_edit_distance,medium,0.8,2,6,0.8
colèr,12,0,12,1,colère,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
colèr,12,0,12,2,coléreux,colere,truncated_prefix_marker,medium,0.7692,3,5,0.7692
colèr,12,0,12,3,colérique,colere,truncated_prefix_marker,medium,0.7143,4,5,0.7143
colèr,12,0,12,4,coléreusement,colere,truncated_prefix_marker,medium,0.5556,8,5,0.5556
décourage,6,6,12,1,décourager,tristesse,truncated_prefix_marker,high,0.9474,1,9,0.9474
décourage,6,6,12,2,décourageant,tristesse,truncated_prefix_marker,high,0.8571,3,9,0.8571
décourage,6,6,12,3,découragement,tristesse,truncated_prefix_marker,medium,0.8182,4,9,0.8182
embête,6,6,12,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
embête,6,6,12,2,embêtement,deplaisir,truncated_prefix_marker,medium,0.75,4,6,0.75
inquiétudes,6,6,12,1,inquiétude,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
inquiétudes,6,6,12,2,inquiet,peur,inflected_or_extended_marker,medium,0.7778,4,7,0.7778
mauvais,6,6,12,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8235,3,7,0.8235
mauvais,6,6,12,2,mauvaisement,inhumanite,truncated_prefix_marker,medium,0.7368,5,7,0.7368
mauvais,6,6,12,3,mauvaise humeur,colere,truncated_prefix_marker,medium,0.6364,8,7,0.6364
menaces,6,6,12,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menaces,6,6,12,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menaces,6,6,12,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
menacés,6,6,12,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacés,6,6,12,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacés,6,6,12,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
amusante,3,8,11,1,amusant,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
menaçante,7,4,11,1,menaçant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
effrayants,5,5,10,1,effrayant,peur,inflected_or_extended_marker,high,0.9474,1,9,0.9474
effrayé,5,5,10,1,effrayer,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
fâchés,5,5,10,1,fâché,colere,inflected_or_extended_marker,high,0.9091,1,5,0.9091
fâchés,5,5,10,2,fâcher,colere,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
fâchés,5,5,10,3,fâcheux,colere,shared_long_stem_edit_distance,medium,0.7692,2,5,0.7692
heureuse,5,5,10,1,heureux,joie,shared_long_stem_edit_distance,medium,0.8,2,6,0.8
heureuse,5,5,10,2,heureusement,joie,truncated_prefix_marker,medium,0.8,4,8,0.8
mauvaise,5,5,10,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8889,2,8,0.8889
mauvaise,5,5,10,2,mauvaisement,inhumanite,truncated_prefix_marker,medium,0.8,4,8,0.8
mauvaise,5,5,10,3,mauvaise humeur,colere,truncated_prefix_marker,medium,0.6957,7,8,0.6957
plein,4,6,10,1,plein de soi,orgueil,truncated_prefix_marker,medium,0.5882,7,5,0.5882
plein,4,6,10,2,plein de soi-même,orgueil,truncated_prefix_marker,medium,0.4545,12,5,0.4545
plein,4,6,10,3,plein de son importance,orgueil,truncated_prefix_marker,medium,0.3571,18,5,0.3571
ravie,5,5,10,1,ravi,joie,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
surprises,5,5,10,1,surprise,surprise,inflected_or_extended_marker,high,0.9412,1,8,0.9412
surprises,5,5,10,2,surpris,surprise,inflected_or_extended_marker,high,0.875,2,7,0.875
tensions,5,5,10,1,tension,deplaisir,inflected_or_extended_marker,high,0.9333,1,7,0.9333
étonnés,5,5,10,1,étonné,surprise,inflected_or_extended_marker,high,0.9231,1,6,0.9231
étonnés,5,5,10,2,étonner,surprise,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
adulte,4,4,8,1,aduler,admiration,same_prefix_fuzzy,medium,0.8333,2,4,0.8333
amusent,4,4,8,1,amusement,joie,shared_long_stem_edit_distance,high,0.875,2,5,0.875
amusent,4,4,8,2,amusant,joie,same_prefix_fuzzy,medium,0.8571,1,4,0.8571
amusent,4,4,8,3,amuser,joie,shared_long_stem_edit_distance,medium,0.7692,2,5,0.7692
bonne,4,4,8,1,bonne humeur,joie,truncated_prefix_marker,medium,0.5882,7,5,0.5882
déçus,4,4,8,1,déçu,deplaisir,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
hont,8,0,8,1,honte,embarras,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
surprenante,4,4,8,1,surprenant,surprise,inflected_or_extended_marker,high,0.9524,1,10,0.9524
tendue,4,4,8,1,tendu,deplaisir,inflected_or_extended_marker,high,0.9091,1,5,0.9091
tendue,4,4,8,2,tendre,amour,same_prefix_fuzzy,medium,0.8333,1,4,0.8333
émerveillée,4,4,8,1,émerveillé,admiration,inflected_or_extended_marker,high,0.9524,1,10,0.9524
émerveillée,4,4,8,2,émerveiller,admiration,shared_long_stem_edit_distance,high,0.9091,1,10,0.9091
embêtée,2,5,7,1,embêter,deplaisir,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
inquiétante,5,2,7,1,inquiétant,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
inquiétante,5,2,7,2,inquiet,peur,inflected_or_extended_marker,medium,0.7778,4,7,0.7778
lassée,3,4,7,1,lasser,comportement,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
terrorisé,3,4,7,1,terroriser,peur,truncated_prefix_marker,high,0.9474,1,9,0.9474
affolée,2,4,6,1,affolé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
affolée,2,4,6,2,affoler,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
affreuse,2,4,6,1,affres,peur,shared_long_stem_edit_distance,high,0.8571,2,5,0.8571
affreuse,2,4,6,2,affreux,peur,shared_long_stem_edit_distance,medium,0.8,2,6,0.8
affreuse,2,4,6,3,affreusement,peur,truncated_prefix_marker,medium,0.8,4,8,0.8
