marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
',punctuation,3.0,0,2.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0,8.0,0.375,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,1.9056390622295665,0.5508532245479724
!,punctuation,1.0,0,2.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,4.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
peu,word,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
peu,lemma,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
temps,word,1.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
temps,lemma,1.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
prendre,word,1.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
prendre,lemma,1.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
content,lemma,0.0,0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
contente,word,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
