marker_value,marker_type,Admiration,Colère,Culpabilité,Dégoût,Embarras,Fierté,Jalousie,Joie,Peur,Surprise,Tristesse,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
vu,word,2,1,0,1,1,1,0,1,3,3,1,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,2.9852281360342516,0.862924452662013
.,punctuation,2,19,2,3,6,6,0,16,13,6,19,92,0.20652173913043478,0.03260869565217391,0.17391304347826086,0.14130434782608695,0.06521739130434782,0.20652173913043478,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.06521739130434782,0.0,2.949527452124027,0.8526046406680741
voir,lemma,4,16,0,4,1,6,0,12,7,6,5,61,0.26229508196721313,0.06557377049180328,0.19672131147540983,0.11475409836065574,0.09836065573770492,0.08196721311475409,0.06557377049180328,0.0,0.01639344262295082,0.09836065573770492,0.0,2.8930287318883323,0.8362728479159601
réussir,lemma,1,1,2,0,2,5,0,6,3,1,3,24,0.041666666666666664,0.0,0.25,0.125,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.0,2.892079563925711,0.8359984768436984
arriver,lemma,2,3,0,0,1,1,0,2,2,5,4,20,0.15,0.0,0.1,0.1,0.25,0.2,0.1,0.0,0.05,0.05,0.0,2.803701696057349,0.8104515438179851
",",punctuation,27,105,0,8,8,27,0,62,107,54,64,462,0.22727272727272727,0.017316017316017316,0.1341991341991342,0.23160173160173161,0.11688311688311688,0.13852813852813853,0.05844155844155844,0.0,0.017316017316017316,0.05844155844155844,0.0,2.801920538434442,0.8099366737990747
taire,lemma,1,9,0,2,1,2,0,3,2,2,2,24,0.375,0.08333333333333333,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,2.7814536459234778,0.804020415070126
quatre,lemma,2,1,0,0,0,1,0,1,1,1,1,8,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0,2.75,0.7949282723741916
quatre,word,2,1,0,0,0,1,0,1,1,1,1,8,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0,2.75,0.7949282723741916
normal,word,0,1,0,0,2,1,0,1,1,1,2,9,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
normal,lemma,0,1,0,0,2,1,0,1,1,1,2,9,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
tête,word,0,1,0,0,3,2,0,2,4,2,3,17,0.058823529411764705,0.0,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.0,0.0,0.17647058823529413,0.11764705882352941,0.0,2.7045348998193433,0.7817859110869447
ans,word,6,4,0,0,1,1,0,2,4,9,5,32,0.125,0.0,0.0625,0.125,0.28125,0.15625,0.1875,0.0,0.03125,0.03125,0.0,2.6984768596329824,0.7800347447526476
an,lemma,6,4,0,0,1,1,0,2,4,9,5,32,0.125,0.0,0.0625,0.125,0.28125,0.15625,0.1875,0.0,0.03125,0.03125,0.0,2.6984768596329824,0.7800347447526476
peu,word,0,6,1,2,2,2,0,4,15,10,16,58,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.25862068965517243,0.1724137931034483,0.27586206896551724,0.0,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.0,2.6625945315529456,0.7696624258183102
peu,lemma,0,6,1,2,2,2,0,4,15,10,16,58,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.25862068965517243,0.1724137931034483,0.27586206896551724,0.0,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.0,2.6625945315529456,0.7696624258183102
sentir,lemma,0,3,1,0,3,0,1,8,4,1,5,26,0.11538461538461539,0.0,0.3076923076923077,0.15384615384615385,0.038461538461538464,0.19230769230769232,0.0,0.038461538461538464,0.11538461538461539,0.0,0.038461538461538464,2.657385276650179,0.7681566134545963
réussi,word,1,0,2,0,2,3,0,4,0,1,2,15,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.0,2.6565647621309543,0.7679194315676053
gagner,word,2,1,1,0,0,4,0,3,3,2,0,16,0.0625,0.0,0.1875,0.1875,0.125,0.0,0.125,0.0625,0.0,0.25,0.0,2.6556390622295662,0.7676518442863881
