marker_value,spacy_count,stanza_count,total_count,match_key,lexicon_match_status,exact_lexicon_term,exact_lexicon_category,in_lexique_emotionnel,best_candidate_term,best_candidate_category,best_candidate_confidence,best_candidate_repair_type
peur,131,131,262,peur,exact,peur,peur,True,,,,
soi,0,175,175,soi,no_match,,,False,,,,
accuser,69,87,156,accuser,no_match,,,False,,,,
manifestation,70,70,140,manifestation,no_match,,,False,,,,
menacer,67,45,112,menacer,exact,menacer,peur,True,,,,
fuir,52,53,105,fuir,no_match,,,False,,,,
critiquer,55,49,104,critiquer,exact,critiquer,mepris,True,,,,
drôle,47,47,94,drole,exact,drôle,joie,True,,,,
dangereux,13,80,93,dangereux,exact,dangereux,peur,True,,,,
choquer,50,40,90,choquer,no_match,,,False,,,,
gros,44,46,90,gros,no_match,,,False,,,,
surprise,41,46,87,surprise,exact,surprise,surprise,True,,,,
bon,43,43,86,bon,no_match,,,False,,,,
inquiéter,24,58,82,inquieter,exact,inquiéter,peur,True,,,,
victime,36,45,81,victime,no_match,,,False,,,,
pleurer,45,32,77,pleurer,repaired_high,,,False,pleureur,comportement,high,shared_long_stem_edit_distance
inquiet,56,20,76,inquiet,exact,inquiet,peur,True,,,,
réclamer,39,37,76,reclamer,no_match,,,False,,,,
guerre,37,37,74,guerre,no_match,,,False,,,,
grave,36,36,72,grave,no_match,,,False,,,,
danger,35,35,70,danger,exact,danger,peur,True,,,,
gagner,31,37,68,gagner,no_match,,,False,,,,
heureux,35,32,67,heureux,exact,heureux,joie,True,,,,
remporter,29,38,67,remporter,no_match,,,False,,,,
hommage,33,33,66,hommage,no_match,,,False,,,,
tuer,30,35,65,tuer,no_match,,,False,,,,
fête,32,32,64,fete,no_match,,,False,,,,
content,30,30,60,content,exact,content,joie,True,,,,
voir,29,30,59,voir,no_match,,,False,,,,
juste,29,29,58,juste,no_match,,,False,,,,
triste,29,29,58,triste,exact,triste,tristesse,True,,,,
mort,28,29,57,mort,no_match,,,False,,,,
dangereu,56,0,56,dangereu,repaired_high,,,False,dangereux,peur,high,truncated_prefix_marker
protester,29,27,56,protester,no_match,,,False,,,,
vie,28,28,56,vie,no_match,,,False,,,,
colère,1,54,55,colere,exact,colère,colere,True,,,,
difficile,27,27,54,difficile,no_match,,,False,,,,
violence,27,27,54,violence,no_match,,,False,,,,
colèr,53,0,53,coler,repaired_high,,,False,colère,colere,high,truncated_prefix_marker
assez,26,26,52,assez,no_match,,,False,,,,
craindre,15,37,52,craindre,exact,craindre,peur,True,,,,
découvrir,26,26,52,decouvrir,no_match,,,False,,,,
dénoncer,26,26,52,denoncer,no_match,,,False,,,,
manifester,20,32,52,manifester,no_match,,,False,,,,
plaisir,26,26,52,plaisir,exact,plaisir,joie,True,,,,
grand,25,26,51,grand,no_match,,,False,,,,
grève,11,40,51,greve,no_match,,,False,,,,
protéger,24,26,50,proteger,no_match,,,False,,,,
étonnant,25,25,50,etonnant,exact,étonnant,surprise,True,,,,
insulte,24,25,49,insulte,no_match,,,False,,,,
attaquer,24,24,48,attaquer,no_match,,,False,,,,
fou,23,24,47,fou,no_match,,,False,,,,
mauvais,21,24,45,mauvais,repaired_high,,,False,mauvaiseté,inhumanite,high,truncated_prefix_marker
rire,14,31,45,rire,exact,rire,joie,True,,,,
exploit,19,25,44,exploit,no_match,,,False,,,,
record,21,23,44,record,no_match,,,False,,,,
tg,22,22,44,tg,no_match,,,False,,,,
arrêter,21,22,43,arreter,no_match,,,False,,,,
prendre,22,21,43,prendre,no_match,,,False,,,,
accord,21,21,42,accord,no_match,,,False,,,,
étonner,20,22,42,etonner,exact,étonner,surprise,True,,,,
premier,19,22,41,premier,no_match,,,False,,,,
déjà,20,20,40,deja,no_match,,,False,,,,
réussir,19,21,40,reussir,no_match,,,False,,,,
insulter,23,16,39,insulter,no_match,,,False,,,,
prix,19,20,39,prix,no_match,,,False,,,,
beau,14,24,38,beau,no_match,,,False,,,,
coup,19,19,38,coup,no_match,,,False,,,,
crier,19,19,38,crier,exact,crier,comportement,True,,,,
aimer,19,18,37,aimer,exact,aimer,amour,True,,,,
amuser,25,12,37,amuser,exact,amuser,joie,True,,,,
mourir,19,18,37,mourir,no_match,,,False,,,,
souffrir,20,17,37,souffrir,no_match,,,False,,,,
fier,18,18,36,fier,exact,fier,fierte,True,,,,
heureusement,18,18,36,heureusement,exact,heureusement,joie,True,,,,
mécontentement,18,18,36,mecontentement,exact,mécontentement,colere,True,,,,
oh,18,18,36,oh,no_match,,,False,,,,
bloquer,20,15,35,bloquer,no_match,,,False,,,,
menace,7,28,35,menace,exact,menace,peur,True,,,,
reprocher,12,23,35,reprocher,exact,reprocher,culpabilite,True,,,,
argent,17,17,34,argent,no_match,,,False,,,,
falloir,17,17,34,falloir,no_match,,,False,,,,
parler,14,20,34,parler,no_match,,,False,,,,
quitter,16,18,34,quitter,no_match,,,False,,,,
terrible,17,17,34,terrible,exact,terrible,peur,True,,,,
victoire,17,17,34,victoire,no_match,,,False,,,,
mettre,16,17,33,mettre,no_match,,,False,,,,
génial,16,16,32,genial,no_match,,,False,,,,
joie,16,16,32,joie,exact,joie,joie,True,,,,
meilleur,16,16,32,meilleur,no_match,,,False,,,,
merde,14,18,32,merde,no_match,,,False,,,,
